Agent ID,Allocated subtasks
415,0
312,0
120,0
50,0
136,0
123,0
38,0
202,0
366,0
17,0
212,0
216,0
479,0
247,0
278,0
300,0
374,0
210,0
52,0
343,0
244,0
454,0
108,0
68,0
248,0
293,0
4,0
92,0
406,0
39,0
252,0
7,0
481,0
378,0
450,0
32,0
427,0
356,0
455,0
292,0
228,0
371,0
102,0
63,0
470,0
333,0
84,0
178,0
188,0
114,0
468,0
71,0
208,0
266,0
325,0
0,0
344,0
496,0
155,0
451,0
57,0
387,0
401,0
323,0
469,0
46,0
127,0
2,0
231,0
72,0
308,0
498,0
284,0
22,0
253,0
288,0
200,0
388,0
43,0
195,0
11,0
429,0
440,0
154,0
141,0
201,0
86,0
375,0
157,0
62,0
175,0
487,0
42,0
159,0
74,0
258,0
112,0
30,0
348,0
390,0
382,0
225,0
241,0
272,0
449,0
41,0
459,0
471,0
268,0
483,0
59,0
45,0
124,0
420,0
448,0
442,0
67,0
18,0
55,0
302,0
265,0
260,0
111,0
332,0
431,0
113,0
433,0
290,0
289,0
376,0
251,0
411,0
16,0
369,0
426,0
118,0
6,0
246,0
486,0
340,0
319,0
359,0
345,0
264,0
78,0
143,0
20,0
360,0
238,0
130,0
349,0
315,0
219,0
444,0
499,0
85,0
327,0
109,0
34,0
361,0
443,0
316,0
306,0
347,0
404,0
115,0
484,0
408,0
181,0
400,0
447,0
9,0
423,0
183,0
373,0
44,46650
321,52852
380,59678
281,51212
192,399
179,47901
138,9291
239,30030
297,18638
223,52394
398,56321
232,8299
230,186
341,7212
399,30173
492,0
280,50300
222,4539
26,1175
334,10810
357,5114
150,14840
395,51986
372,58876
103,15016
301,5967
12,20800
19,27698
3,380
491,454
203,43025
147,23764
90,23024
489,22270
61,11242
475,43697
402,44659
326,3733
250,5876
14,56976
318,108
291,1334
274,10440
352,22048
60,3892
176,7531
80,31435
421,41912
282,45574
488,51904
386,35598
422,27060
490,4926
295,24524
173,52746
211,26978
126,7681
409,10245
365,5043
107,33540
177,3185
412,32026
337,10220
209,0
54,0
338,25976
65,49735
263,33591
128,24724
414,34307
153,8139
221,40145
185,148
460,13810
353,0
385,22552
294,5399
269,27669
187,1431
298,47689
407,1502
277,16544
149,49530
324,16244
37,55901
346,762
193,5637
204,35513
476,52821
438,53666
256,541
245,25733
275,3953
461,183
405,52871
458,56517
27,0
383,42426
379,33262
495,56477
462,27464
480,10003
48,791
362,8344
140,44778
322,14902
446,16481
261,32386
168,1488
142,15569
257,0
10,790
76,28895
236,38984
163,2549
97,48154
428,4280
330,34324
377,49076
307,55462
122,0
144,8
171,4978
279,233
249,15250
81,30147
64,0
320,3859
158,35678
167,10138
466,627
494,46933
463,26350
296,8583
156,0
94,47806
121,47831
267,25698
418,0
197,58063
220,0
189,9886
132,6942
5,37754
137,312
133,33697
367,3898
350,0
161,55392
389,55598
29,4343
452,49770
31,22838
262,252
473,53745
13,31822
180,52517
299,10133
174,45543
135,15894
96,4863
310,132
98,52664
354,7642
95,26123
417,8079
416,27834
196,13612
255,19521
82,59609
116,41563
309,322
229,11066
28,7879
77,14424
151,214
235,23059
456,3932
58,17212
441,7153
342,0
191,36156
273,1744
99,35430
355,857
413,30283
104,1454
170,21099
88,1836
73,932
329,0
131,58038
439,1239
75,51319
194,40239
465,2646
497,5976
205,14192
328,0
457,44622
397,44646
47,48945
226,50131
435,3763
218,99
436,3562
445,2018
240,29777
106,3121
25,11401
172,19789
51,42206
23,29271
335,246
105,41212
100,8223
1,0
129,52404
233,33066
224,9882
394,40873
119,454
237,13324
21,0
242,20649
165,1286
317,2404
432,3364
69,60084
477,23643
101,49755
472,21819
493,27309
53,55663
270,124
351,14574
336,407
35,50700
40,2471
381,37475
453,45794
36,11576
254,13023
384,0
392,4093
148,59365
145,0
8,4133
331,571
419,1682
91,6978
434,55717
259,42161
478,48739
314,767
33,6684
304,8552
271,2075
146,29851
283,39635
243,6158
190,48194
287,56348
117,0
134,0
485,4194
49,28489
214,28913
303,55768
198,53799
286,56345
339,6619
70,2396
217,39862
169,1818
110,3578
206,0
467,0
305,40907
215,42201
160,48773
425,1
391,49750
184,46845
474,36395
24,13834
93,52424
164,0
313,368
364,36491
482,14954
213,15205
464,3560
358,1794
424,3165
227,175
15,59727
79,14414
56,46779
437,53811
410,45694
403,5379
66,0
368,47951
162,41873
393,6344
430,49294
207,14602
125,13695
396,9861
199,6863
87,41079
152,27718
166,40676
363,1489
311,6838
139,2681
89,5063
186,37021
83,0
285,6
234,59560
370,48011
276,0
182,47797
