tick,executed task,wasted task,communication time,executed time,waiting time,all executed time,leader count,member count,allocate area 0 member,allocate area 1 member,allocate area 2 member,allocate area 3 member
0,0,0,0.0,0.0,0.0,0.0,3,126,0,0,0,0
100,31,7,1.8325122892187602,1.6016666666666668,3.4061666666666666,5.004666666666667,39,90,37,75,16,42
200,46,79,2.1578545176469452,1.7165000000000001,5.015833333333333,6.8865,22,107,30,83,36,50
300,101,81,2.0642144778907188,1.1555862193362194,5.731157647907648,8.278918470418471,35,94,87,133,80,160
400,109,47,2.0529555972602007,0.9995436507936505,4.164388888888889,8.194146825396823,44,85,62,135,60,192
500,107,25,2.0233356601404164,1.0214563492063493,4.910253968253969,7.99915476190476,47,82,51,140,53,225
600,101,24,2.075068885344309,0.9486190476190478,4.230500000000001,7.913916666666666,46,83,60,130,59,212
700,94,12,2.154180356397101,0.9904999999999999,4.3611071428571435,7.530511904761904,47,82,61,114,26,192
800,101,7,2.085607131112084,1.102203463203463,3.67666810966811,7.7776165223665235,48,81,87,145,45,200
900,104,13,2.010489541208145,0.8626753246753247,5.375748196248197,7.825012265512264,48,81,75,154,32,179
1000,99,4,1.9275519507519088,1.0594642857142853,5.120079365079366,7.338623015873014,47,82,81,140,28,176
1100,105,2,1.9610960149108865,0.9810634920634921,4.362916666666667,7.648210317460318,48,81,96,158,17,190
1200,101,6,1.9911764124510662,1.0598434065934068,4.232567765567766,7.449364468864466,46,83,72,155,20,173
1300,85,0,1.9740335688611645,1.1821666666666666,4.278638888888889,6.903527777777779,46,83,70,140,26,152
1400,80,2,1.9737342470491177,1.253825396825397,4.6223253968253974,7.259722222222222,46,83,76,144,21,136
1500,78,5,1.9685788759162433,1.274234126984127,3.578801587301586,6.762285714285714,47,82,64,126,13,152
1600,85,1,1.9793390547978513,0.9410000000000001,3.1602619047619043,6.690761904761904,46,83,66,130,16,147
1700,74,4,1.949320141175373,1.5086507936507934,4.575603174603175,7.2352896825396815,47,82,74,121,22,143
1800,70,0,1.935017694281355,1.1749253246753248,3.8576435786435788,7.021093073593072,47,82,52,113,4,144
1900,62,1,1.9315620633432706,1.3619920634920633,4.220793650793651,6.799634920634921,46,83,45,105,2,125
2000,66,2,1.9272486054865052,1.3903928571428574,4.516333333333333,6.754321428571428,47,82,45,107,3,146
2100,61,1,1.9162353268204029,1.2585000000000002,3.6548333333333343,6.507833333333333,45,84,39,87,1,120
2200,57,2,1.9671509209136142,1.4464761904761907,4.821738095238095,7.012428571428574,47,82,41,98,5,123
