Agent ID,Area ID,x,y,Resource: 1,Resource: 2,Resource: 3,Resouce Average,Leader Evaluation,Member Evaluation,Allocated Subtasks,Refused Subtasks,Member Count,Leader Count
493,0,36,8,2,1,4,2.3333333333333335,0.3623724559006779,0.08658369707552446,6272,33,91025,58976
199,0,30,21,4,3,1,2.6666666666666665,0.1884572831611964,0.11736553017092115,4591,108,89262,60739
483,0,36,49,5,1,3,3.0,0.22092278641758306,0.17231407594729634,10910,192,102946,47055
408,0,47,44,2,3,1,2.0,0.25385034248459254,0.18724716659953725,2581,20,84733,65268
435,0,2,48,5,1,4,3.3333333333333335,0.23433057350298397,0.05704772736399031,7013,92,101615,48386
50,0,28,29,1,4,1,2.0,0.33904392773663616,0.15913677097411522,722,0,73487,76514
205,0,32,8,5,2,5,4.0,0.37342234395238877,0.18214233475446723,406,0,51181,98820
42,0,23,21,1,4,1,2.0,0.3748701268828685,0.2000566559116856,6316,90,101688,48313
155,0,28,15,2,2,1,1.6666666666666667,0.3065418627469442,0.06204888297290936,267,0,69852,80149
492,0,20,25,1,2,5,2.6666666666666665,0.24956825403444544,0.13151666683396204,6143,43,83770,66231
80,0,2,27,4,1,5,3.3333333333333335,0.231141671413311,0.09468714477998762,10616,148,109150,40851
418,0,25,3,1,4,2,2.3333333333333335,0.41150095176137796,0.15609562131474938,5743,7,90204,59797
204,0,34,12,3,3,3,3.0,0.33279410162813944,0.15935401716999695,3857,35,66957,83044
16,0,44,25,2,1,3,2.0,0.3463531631060799,0.057535225081781965,6955,132,95305,54696
409,0,10,41,3,3,3,3.0,0.2669080925864852,0.06468523566798469,19852,301,117914,32087
225,0,37,10,5,1,5,3.6666666666666665,0.2096022076012592,0.2057939933442424,13181,259,118017,31984
426,0,13,13,5,3,1,3.0,0.40138222979125265,0.1371972655969198,2764,28,67771,82230
337,0,19,5,5,1,4,3.3333333333333335,0.24276689083698025,0.18393365087895128,9004,203,109145,40856
367,0,3,33,1,4,4,3.0,0.16214720566868854,0.071895111698416,404,0,60131,89870
66,0,24,26,1,2,5,2.6666666666666665,0.3372367999579399,0.08760730405799065,4132,40,76655,73346
215,0,37,7,4,2,4,3.3333333333333335,0.24668159413586277,0.14670876487342888,7781,103,86467,63534
414,0,17,2,5,2,2,3.0,0.4067881625068288,0.18124701240040159,1153,19,61573,88428
432,0,40,14,1,5,3,3.0,0.22899795806873768,0.1907460930601587,16766,245,136074,13927
338,0,49,11,2,4,3,3.0,0.1914612007534462,0.04299568171593232,10135,133,104397,45604
333,0,24,45,1,2,1,1.3333333333333333,0.32512980413305337,0.13542000516623603,241,0,69533,80468
230,0,37,26,1,3,5,3.0,0.28408125713622273,0.18546281623746258,8529,213,96459,53542
378,0,34,49,2,1,5,2.6666666666666665,0.20093585940284736,0.10205426656761048,10082,143,106859,43142
178,0,33,28,4,1,4,3.0,0.18710226384526701,0.14082257665957207,633,0,58800,91201
238,0,21,16,1,1,2,1.3333333333333333,0.25680914939977506,0.18107433295886755,4763,25,111903,38098
389,0,21,35,5,4,4,4.333333333333333,0.41665745116581415,0.14900080435771634,35062,739,138696,11305
231,0,40,44,1,1,3,1.6666666666666667,0.3724251423167651,0.12307259478514891,1311,0,68771,81230
169,0,18,48,5,5,1,3.6666666666666665,0.3171666978563597,0.12246829315110977,636,0,58434,91567
55,0,14,8,2,5,1,2.6666666666666665,0.32431538363062207,0.2108984388651069,643,0,74183,75818
101,0,33,9,2,5,5,4.0,0.2782711400065913,0.12499028756836741,24437,463,132604,17397
324,0,35,49,1,4,3,2.6666666666666665,0.3721037816082225,0.2032197775060964,8836,173,100273,49728
262,0,22,26,4,1,2,2.3333333333333335,0.2896319385198838,0.14785583314247996,4415,19,82266,67735
447,0,2,34,1,3,2,2.0,0.20262952020802,0.12805721453354263,4925,73,93386,56615
413,0,3,27,4,2,3,3.0,0.25223345542027736,0.07186924556261887,5666,119,72037,77964
446,0,44,6,1,3,5,3.0,0.273265115172927,0.08725055910636287,4450,58,87718,62283
1,0,9,5,1,4,2,2.3333333333333335,0.18642154129456986,0.08566552740329259,3032,38,84815,65186
479,0,1,17,1,3,3,2.3333333333333335,0.2628917316615198,0.13295330435673203,4673,97,82577,67424
454,0,39,11,1,2,1,1.3333333333333333,0.27090663175627544,0.10996103657652692,294,0,73404,76597
83,0,8,45,1,1,3,1.6666666666666667,0.24132372282757358,0.16318079080419312,2195,30,71070,78931
51,0,40,49,2,4,3,3.0,0.26437296626044565,0.071088101237171,228,0,57214,92787
119,0,44,1,1,3,4,2.6666666666666665,0.14663582259074937,0.07936866137021581,607,0,65117,84884
224,0,31,34,5,5,1,3.6666666666666665,0.27610253328356377,0.14406587077806496,702,5,58895,91106
489,0,49,23,4,1,5,3.3333333333333335,0.37213857359145674,0.10808659591157903,16086,235,126933,23068
417,0,11,39,5,4,1,3.3333333333333335,0.2971743718653821,0.10755316121470443,15209,281,125534,24467
328,0,37,4,2,1,3,2.0,0.3389276021375207,0.1109116187559215,142,0,57523,92478
469,0,31,10,1,1,4,2.0,0.3005494639989018,0.09708063796891753,2760,15,76387,73614
353,0,1,12,4,1,3,2.6666666666666665,0.285690151574813,0.2176475185491781,13659,168,127571,22430
147,0,39,40,1,5,5,3.6666666666666665,0.15725585617688656,0.1289155312580678,7686,89,85607,64394
248,0,44,40,1,1,4,2.0,0.3508312544088402,0.16083869216488572,227,0,65591,84410
154,0,25,47,4,1,3,2.6666666666666665,0.37022213100446905,0.215933177871797,2715,0,82485,67516
76,0,34,16,2,1,5,2.6666666666666665,0.31897133312252585,0.08556624060368878,7678,173,100656,49345
103,0,17,37,2,5,1,2.6666666666666665,0.28374905118314664,0.1420174274744444,8044,163,95174,54827
359,0,37,29,1,2,1,1.3333333333333333,0.3235726614782879,0.13571362823527894,246,0,64723,85278
317,0,39,22,3,2,1,2.0,0.15749669941936328,0.10247521829258711,529,0,65933,84068
325,0,32,15,1,4,5,3.3333333333333335,0.2115237224590599,0.19977925914445932,717,8,57253,92748
375,0,9,0,1,2,4,2.3333333333333335,0.2878580554447199,0.16222691899926397,252,0,69033,80968
283,0,0,42,2,3,3,2.6666666666666665,0.2725955671109106,0.09135815807313737,121,0,48664,101337
3,0,4,9,1,3,4,2.6666666666666665,0.2795987177853628,0.08472477545590223,3001,29,78346,71655
210,0,40,0,1,3,1,1.6666666666666667,0.37555916114294546,0.10321235018596008,238,0,62541,87460
177,0,26,0,3,4,2,3.0,0.337431762774337,0.13011166868010143,330,0,58860,91141
370,0,41,20,3,4,3,3.3333333333333335,0.48814825379831894,0.12628773414176492,17299,302,113284,36717
60,0,29,15,2,2,5,3.0,0.23851729063317872,0.1266996584940994,8072,109,92377,57624
450,0,34,48,3,1,5,3.0,0.21330837302549063,0.06073730765054324,151,0,52644,97357
127,0,2,49,2,2,2,2.0,0.4367043595662729,0.04923395042404081,16163,148,137192,12809
188,0,0,12,2,5,1,2.6666666666666665,0.26519045521744944,0.09064081958250345,1855,51,71530,78471
72,0,18,24,1,5,1,2.3333333333333335,0.3249893589887235,0.13690375121104714,5308,27,92671,57330
114,0,39,29,5,1,1,2.3333333333333335,0.25796156843313856,0.09802991027768357,2996,4,77595,72406
491,0,47,17,3,2,2,2.3333333333333335,0.20958986279495995,0.12880982659247459,11282,152,98132,51869
228,0,31,8,3,4,1,2.6666666666666665,0.40576450949613097,0.1458783502621798,9546,117,105582,44419
442,0,3,49,1,4,2,2.3333333333333335,0.33739681358531265,0.07630090385544694,3304,3,88405,61596
145,0,44,17,1,4,1,2.0,0.3944719633080922,0.04397577056220672,402,0,62346,87655
354,0,40,13,3,1,4,2.6666666666666665,0.4468847483558771,0.13876665652351394,13151,175,127091,22910
10,0,32,12,4,1,4,3.0,0.31075329088278747,0.12574518684897684,8119,181,96198,53803
212,0,43,49,1,1,4,2.0,0.2605173203649453,0.17020686648905195,3838,53,85766,64235
436,0,37,48,2,1,4,2.3333333333333335,0.3538846346565321,0.15542312559137142,1056,0,71965,78036
397,0,40,11,4,2,4,3.3333333333333335,0.3633731925404462,0.10596433288963397,1814,0,70498,79503
292,0,48,40,1,2,5,2.6666666666666665,0.22446587604961957,0.14656786466870597,158,0,51481,98520
63,0,34,27,5,1,1,2.3333333333333335,0.28513711820174203,0.18685597558177777,2045,6,78882,71119
341,0,48,1,2,2,4,2.6666666666666665,0.2903384282829548,0.18824063983764608,3708,34,71215,78786
139,0,3,16,1,1,5,2.3333333333333335,0.4425866002952827,0.1081467377798845,613,0,59193,90808
222,0,18,41,3,3,1,2.3333333333333335,0.31758546382571173,0.14771495807964388,8085,89,93743,56258
296,0,22,36,3,5,1,3.0,0.31362271572142414,0.17126637380408857,13451,245,118918,31083
288,0,10,25,1,1,1,1.0,0.3091234522072682,0.15941246518539065,662,3,84980,65021
161,0,4,1,5,5,3,4.333333333333333,0.28035806074117126,0.12897839866684677,26262,322,135545,14456
183,0,22,18,2,1,2,1.6666666666666667,0.23862571683211978,0.1743767936927244,3685,30,86472,63529
27,0,6,36,4,2,1,2.3333333333333335,0.34524126219031775,0.12591608533243392,2511,13,76325,73676
362,0,26,15,1,5,4,3.3333333333333335,0.27549030179351025,0.10298346899318059,14163,241,116640,33361
268,0,13,41,4,1,3,2.6666666666666665,0.41182034840821274,0.11534952811342465,6516,40,88542,61459
449,0,24,4,2,1,1,1.3333333333333333,0.27524762133708613,0.0890385495737685,1870,0,89874,60127
143,0,48,32,2,5,1,2.6666666666666665,0.27730311839004623,0.09321694275774384,9220,183,100576,49425
320,0,34,2,1,4,3,2.6666666666666665,0.22627914498127807,0.14132590068319975,9004,156,103736,46265
275,0,49,10,5,2,3,3.3333333333333335,0.21584501714113075,0.19039531863181403,295,0,56694,93307
118,0,10,23,1,2,2,1.6666666666666667,0.2781049081545709,0.12218959055887366,4758,92,90976,59025
201,0,34,37,2,1,4,2.3333333333333335,0.203327146304574,0.1373178950156283,4563,48,90135,59866
373,0,13,9,4,1,3,2.6666666666666665,0.3712120236287623,0.15997021463769354,2472,2,74425,75576
86,0,38,40,3,2,1,2.0,0.21733821688208238,0.08175707174349348,1438,1,79554,70447
34,0,23,14,5,3,1,3.0,0.2702679790288895,0.12227312833194097,17638,255,128681,21320
396,0,43,48,1,3,4,2.6666666666666665,0.3334008407156741,0.09206905735595,3928,15,73032,76969
443,0,49,19,2,5,2,3.0,0.3328612999548259,0.06743207401570613,176,0,55661,94340
472,0,25,12,2,5,3,3.3333333333333335,0.44459333934075984,0.2322216418779066,20862,368,128493,21508
73,0,33,16,1,4,2,2.3333333333333335,0.22462497426186645,0.17354391223081564,11009,141,119382,30619
366,0,11,26,3,3,1,2.3333333333333335,0.3289714749354127,0.18571510906601954,2586,11,71111,78890
67,0,20,20,1,4,2,2.3333333333333335,0.3736828717021297,0.13117554196085524,8636,169,107504,42497
176,0,23,22,4,2,2,2.6666666666666665,0.2726513651928868,0.13002401900991664,16787,242,119751,30250
70,0,6,37,5,5,1,3.6666666666666665,0.42517699490969635,0.14038711249826644,5778,83,92199,57802
45,0,6,35,1,2,1,1.3333333333333333,0.34190272032271596,0.1084132077088908,204,0,73376,76625
415,0,20,43,1,1,5,2.3333333333333335,0.18058173874740038,0.09896454915074145,1564,4,74791,75210
357,0,40,30,1,5,4,3.3333333333333335,0.24139059570858326,0.119342701219426,8929,180,98946,51055
75,0,7,48,4,3,5,4.0,0.3771035435473353,0.1166875372198637,175,0,49390,100611
379,0,13,5,3,3,4,3.3333333333333335,0.19523063036824329,0.47540841146809265,19521,244,123438,26563
382,0,18,40,1,1,3,1.6666666666666667,0.20276532765395422,0.11754360686009388,2669,12,81988,68013
407,0,42,2,4,3,3,3.3333333333333335,0.2449737701962936,0.1829970746892064,14644,182,99654,50347
223,0,31,2,4,3,5,4.0,0.4526067460066776,0.17190285100529232,659,0,53683,96318
68,0,40,27,1,1,4,2.0,0.3779007678437949,0.2613178373396012,2992,28,77897,72104
486,0,18,28,2,5,1,2.6666666666666665,0.3546009014571826,0.1247087258925923,2548,3,78787,71214
218,0,10,8,5,5,1,3.6666666666666665,0.3111540585769263,0.1642161358208213,12585,219,115611,34390
150,0,44,16,3,2,3,2.6666666666666665,0.2416644722146798,0.07564521437377245,4253,63,69860,80141
138,0,11,44,5,1,3,3.0,0.2161832742474141,0.10977759239415129,2716,18,67384,82617
342,0,3,30,1,4,2,2.3333333333333335,0.2805624950636983,0.10139767404753902,2540,52,75878,74123
315,0,13,36,1,2,2,1.6666666666666667,0.3740940782098006,0.09250353540038832,8652,83,119500,30501
30,0,4,41,3,2,1,2.0,0.26604521999015607,0.16891711398771803,185,0,56467,93534
457,0,2,33,5,2,3,3.3333333333333335,0.1658358363097196,0.2067510470860642,241,0,55494,94507
372,0,0,26,5,5,4,4.666666666666667,0.1526169571943757,0.43875317905521266,38640,761,146866,3135
112,0,34,24,2,1,3,2.0,0.40954162093668084,0.35067569423020123,8599,125,118545,31456
132,0,0,24,4,4,2,3.3333333333333335,0.12010780769720496,0.11493902330138897,18431,284,125019,24982
202,0,1,9,1,1,5,2.3333333333333335,0.1969688412064493,0.2527139007378916,5451,83,90420,59581
444,0,41,5,1,4,1,2.0,0.1581611451670105,0.21169774613142128,4218,84,87505,62496
352,0,17,26,1,4,4,3.0,0.07015254253872888,0.5058206061879851,20786,341,148356,1645
124,0,11,46,5,2,1,2.6666666666666665,0.1493263047880351,0.22928241086686885,3499,16,70477,79524
174,0,37,8,3,5,2,3.3333333333333335,0.17726415203574772,0.36809437468363315,28754,499,146867,3134
279,0,17,31,5,1,4,3.3333333333333335,0.15612496550167948,0.4014188951865754,15650,253,125756,24245
11,0,35,8,1,3,5,3.0,0.21520221614873367,0.40817479080291197,18875,316,140029,9972
334,0,0,0,5,2,2,3.0,0.2089353331680189,0.853095199247812,1483,0,66524,83477
56,0,15,34,4,3,4,3.6666666666666665,0.2256489899948533,0.33030029497144237,30621,518,146911,3090
439,0,27,42,4,1,5,3.3333333333333335,0.44145868682714223,0.1315756668493036,8601,52,100319,49682
59,0,5,31,1,4,2,2.3333333333333335,0.10729361461981662,0.5165598494957346,17402,238,143718,6283
236,0,0,47,3,4,3,3.3333333333333335,0.3136902055813587,0.11903826717810358,14350,169,105864,44137
53,0,4,5,5,3,5,4.333333333333333,0.2824746613935749,0.4811877500052716,2161,0,73093,76908
291,0,28,41,2,3,3,2.6666666666666665,0.12907691088044848,0.5025643718152275,21938,253,140406,9595
197,0,47,19,5,5,4,4.666666666666667,0.29686216288082634,0.45372671472041437,29688,466,134778,15223
