Agent ID,Area ID,x,y,Resource: 1,Resource: 2,Resource: 3,Resouce Average,Leader Evaluation,Member Evaluation,Allocated Subtasks,Refused Subtasks,Member Count,Leader Count
89,2,34,22,1,5,2,2.6666666666666665,0.404279852408782,0.28988771667176466,4634,207,32709,37293
157,2,26,3,1,5,3,3.0,0.3805067030848034,0.2616997024123377,4289,181,29679,40323
64,3,29,38,5,1,1,2.3333333333333335,0.3244235380982126,0.1734026864920145,949,41,13928,56074
302,3,26,35,4,2,2,2.6666666666666665,0.36395387441342764,0.1698343864148297,5840,203,32615,37387
7,0,23,18,2,2,5,3.0,0.4125793394712874,0.19700159807668555,5175,189,27568,42434
32,0,3,23,5,1,3,3.0,0.33050498921175225,0.18426704384483752,11160,391,61755,8247
451,1,16,26,4,1,1,2.0,0.4495238631975247,0.09771068201692142,1528,51,18870,51132
427,0,17,0,5,3,2,3.3333333333333335,0.4054549505233299,0.20778005865441135,39,0,8719,61283
484,1,6,47,1,3,1,1.6666666666666667,0.5985026152320996,0.20130948665873707,816,22,14104,55898
63,3,34,27,5,1,1,2.3333333333333335,0.6491444744770895,0.13364406449526253,2994,126,27037,42965
442,1,3,49,1,4,2,2.3333333333333335,0.46223370198275227,0.1682091742648734,40,0,8460,61542
246,2,36,3,2,2,5,3.0,0.3399482314418367,0.16883453457971417,13616,447,61445,8557
83,1,8,45,1,1,3,1.6666666666666667,0.5225225234350672,0.1146306199181429,1196,57,15611,54391
490,0,8,20,4,1,3,2.6666666666666665,0.5013091989624393,0.13605162233923548,10877,398,61731,8271
68,3,40,27,1,1,4,2.0,0.2924066511637276,0.1377925195812495,710,18,13177,56825
159,1,21,28,1,2,2,1.6666666666666667,0.586086989400796,0.10346624379594434,597,27,12002,58000
2,3,45,31,2,4,1,2.3333333333333335,0.4138242455257008,0.18305809991773334,7095,237,46515,23487
454,2,39,11,1,2,1,1.3333333333333333,0.41605059845994824,0.23170849868469046,4242,145,38490,31512
85,3,33,26,5,2,1,2.6666666666666665,0.4038763656362316,0.14186746440536055,38,0,9588,60414
178,3,33,28,4,1,4,3.0,0.47694913072128414,0.08992410444851137,5580,231,35362,34640
477,0,10,18,3,4,5,4.0,0.3597809907161966,0.1143267253965479,40,0,8556,61446
33,0,2,2,2,5,1,2.6666666666666665,0.514294125890859,0.18944852262128464,830,11,14440,55562
406,2,31,1,3,3,1,2.3333333333333335,0.39250324256707997,0.11292739669393037,6180,207,40993,29009
323,2,38,2,4,3,1,2.6666666666666665,0.5048174143342427,0.1242854941021958,1081,39,15044,54958
130,1,0,33,4,1,5,3.3333333333333335,0.7057976379222901,0.239456402959842,4144,166,28315,41687
193,3,38,41,1,2,3,2.0,0.48836162628987906,0.20872972179090213,3289,137,25370,44632
52,3,33,39,4,1,3,2.6666666666666665,0.3781440152122735,0.20297988145860252,4289,157,29493,40509
483,3,36,49,5,1,3,3.0,0.5191467158491516,0.03743664881769376,3349,95,24580,45422
433,3,29,46,2,1,3,2.0,0.4235337787209402,0.1708451202600543,615,26,12683,57319
250,3,36,31,3,4,1,2.6666666666666665,0.5503914576524404,0.22239877177530393,10035,356,57254,12748
320,2,34,2,1,4,3,2.6666666666666665,0.4423709428014687,0.15630585305329583,620,27,11565,58437
347,2,47,2,1,4,3,2.6666666666666665,0.5424560101403542,0.1836962760418843,8201,269,47970,22032
385,1,10,27,1,3,4,2.6666666666666665,0.48313593583125786,0.1715593280683585,49,0,9391,60611
429,3,34,46,2,2,1,1.6666666666666667,0.44850554905312245,0.11699703600212562,49,0,8798,61204
210,2,40,0,1,3,1,1.6666666666666667,0.4152136248513014,0.20244385727418315,4003,95,34244,35758
365,2,32,0,1,5,5,3.6666666666666665,0.39621714185165025,0.11643390039138808,35,0,9839,60163
72,0,18,24,1,5,1,2.3333333333333335,0.3929512689858379,0.136097643426735,52,0,8989,61013
368,0,10,13,2,5,5,4.0,0.550142166327441,0.20303041444324854,32,0,7821,62181
122,3,32,30,5,4,1,3.3333333333333335,0.6408011603641379,0.16757167220671837,51,0,9049,60953
163,0,6,17,2,5,1,2.6666666666666665,0.4369419289846788,0.20455174531109255,45,0,7652,62350
272,1,15,47,4,1,2,2.3333333333333335,0.4368604910022535,0.1200113969974896,1113,21,13730,56272
273,0,8,9,1,4,2,2.3333333333333335,0.47775384174297764,0.17942232316480122,4361,147,29670,40332
469,2,31,10,1,1,4,2.0,0.4926746845599974,0.13900672358090116,3839,126,32302,37700
341,2,48,1,2,2,4,2.6666666666666665,0.4505119628423451,0.18134119187271558,38,0,8147,61855
324,3,35,49,1,4,3,2.6666666666666665,0.31679574899719837,0.10068227160745803,7973,288,47453,22549
496,2,29,2,3,1,2,2.0,0.4972681669039801,0.20835755192508226,30,0,7101,62901
270,3,28,26,5,1,5,3.6666666666666665,0.35391252259460826,0.15382435169288194,12384,523,64097,5905
446,2,44,6,1,3,5,3.0,0.5713381171737011,0.1734858851667009,9029,310,52268,17734
143,3,48,32,2,5,1,2.6666666666666665,0.3618825617095852,0.14704061467982377,92,3,9709,60293
4,2,48,4,1,4,3,2.6666666666666665,0.45248817205658015,0.09816467017668752,166,4,9773,60229
59,1,5,31,1,4,2,2.3333333333333335,0.5584340528259384,0.13937414363002432,4751,153,34180,35822
416,3,40,32,4,2,2,2.6666666666666665,0.35909921480382795,0.17325902213458402,41,0,7748,62254
449,0,24,4,2,1,1,1.3333333333333333,0.4577097148671134,0.2220503953451103,1373,29,17979,52023
436,3,37,48,2,1,4,2.3333333333333335,0.48587396521911747,0.14504213642248773,8375,253,52372,17630
251,0,21,6,5,1,3,3.0,0.48638559571046214,0.1713753064879877,612,26,11416,58586
450,3,34,48,3,1,5,3.0,0.6543327400185646,0.1510065249674093,1975,61,18864,51138
154,3,25,47,4,1,3,2.6666666666666665,0.47134581763474026,0.2709148061247099,3714,88,26355,43647
418,2,25,3,1,4,2,2.3333333333333335,0.5704080279602483,0.19953583467594094,5120,170,35847,34155
349,3,49,45,3,4,2,3.0,0.40875903848666223,0.1866705782220739,48,0,7431,62571
185,0,8,5,1,5,5,3.6666666666666665,0.4064465777165003,0.15367017007818146,54,0,7593,62409
27,1,6,36,4,2,1,2.3333333333333335,0.5132273494372778,0.06296708111792348,6336,181,42831,27171
457,1,2,33,5,2,3,3.3333333333333335,0.25261103501397564,0.13324019669401094,15556,507,65414,4588
133,2,46,15,2,5,4,3.6666666666666665,0.42565484177357826,0.13043309745824538,37,0,9566,60436
360,2,46,1,2,1,4,2.3333333333333335,0.5377447205217405,0.11683094403416087,2944,124,23186,46816
285,1,3,26,1,4,2,2.3333333333333335,0.4111703261872631,0.2404698112403881,46,0,9030,60972
187,1,6,29,1,5,4,3.3333333333333335,0.4659615172292063,0.11260855761057892,40,0,9324,60678
318,3,40,28,1,4,1,2.0,0.6274316150741528,0.18795312753896465,113,4,8535,61467
155,2,28,15,2,2,1,1.6666666666666667,0.5325730771902182,0.27061452533264974,5203,166,36830,33172
259,0,12,9,2,4,3,3.0,0.44325701339945506,0.14213524373688205,5600,208,29010,40992
466,2,47,8,1,4,2,2.3333333333333335,0.4308528252772777,0.20832383447860234,90,0,8780,61222
297,1,24,44,3,1,3,2.3333333333333335,0.4823919179370764,0.15743097152475766,3403,123,25419,44583
20,3,33,45,2,2,1,1.6666666666666667,0.5423694988264502,0.13837597650291664,31,0,8374,61628
16,3,44,25,2,1,3,2.0,0.4674148059778346,0.2111515314804066,45,0,7303,62699
265,0,14,9,2,2,2,2.0,0.4002837425457442,0.11039360882384132,2754,87,21350,48652
359,3,37,29,1,2,1,1.3333333333333333,0.5615865932201505,0.14210911663138842,71,0,7792,62210
428,0,20,22,4,3,1,2.6666666666666665,0.32760110474152165,0.11482232379742058,9086,329,53132,16870
244,1,7,27,1,4,5,3.3333333333333335,0.6401965140897065,0.1334232548644171,10795,406,58291,11711
152,2,43,18,5,4,1,3.3333333333333335,0.7093689499985107,0.23251532690758145,9901,420,53327,16675
396,3,43,48,1,3,4,2.6666666666666665,0.3938275895414825,0.16708792833405528,3915,135,27785,42217
373,0,13,9,4,1,3,2.6666666666666665,0.5074976466512213,0.1340862174462303,340,8,10420,59582
463,1,10,44,2,4,2,2.6666666666666665,0.5831975475297345,0.25137095499867707,40,0,8923,61079
202,0,1,9,1,1,5,2.3333333333333335,0.473002922740202,0.22688147307896925,2653,135,24724,45278
253,2,32,18,1,1,4,2.0,0.4264758127455755,0.24052349740183718,4449,202,35699,34303
260,1,7,41,1,1,4,2.0,0.5086845641342717,0.11976233978112795,1963,89,19994,50008
375,0,9,0,1,2,4,2.3333333333333335,0.37766005543007863,0.1454276539199642,2302,91,20297,49705
499,3,44,43,3,1,4,2.6666666666666665,0.43174894274114956,0.1344525996030761,2581,108,20658,49344
308,2,42,12,1,1,3,1.6666666666666667,0.42968296406733114,0.24991549813284675,900,27,13155,56847
248,3,44,40,1,1,4,2.0,0.5494574915386726,0.13802846986027248,198,4,8748,61254
211,3,26,42,2,5,2,3.0,0.4382839424705661,0.15970584726609968,51,0,9239,60763
289,0,11,6,1,2,1,1.3333333333333333,0.4923954040494646,0.211921113228552,379,3,10784,59218
420,3,29,48,4,1,5,3.3333333333333335,0.543235728162374,0.15289602439732994,1611,53,14940,55062
196,3,25,25,3,1,3,2.3333333333333335,0.479366893651323,0.16965453946205492,10834,364,62902,7100
382,1,18,40,1,1,3,1.6666666666666667,0.6614758292657839,0.16884273848725367,52,0,9628,60374
242,3,39,32,5,2,2,3.0,0.6410942023427846,0.15721704227581082,4968,179,27398,42604
366,1,11,26,3,3,1,2.3333333333333335,0.49947771535342866,0.13792762719128104,3510,149,24578,45424
369,2,34,19,1,2,3,2.0,0.4386216712182862,0.15061750299278312,3099,112,25430,44572
132,0,0,24,4,4,2,3.3333333333333335,0.4634768573535785,0.16225307164136202,42,0,7557,62445
128,1,24,34,4,3,1,2.6666666666666665,0.49551004643442326,0.13727353396035444,9563,377,55789,14213
113,1,4,40,4,5,1,3.3333333333333335,0.4896352992841496,0.15274965648132838,10120,379,56313,13689
293,1,11,40,1,1,1,1.0,0.5554421397203424,0.14387579429221448,359,9,12884,57118
487,0,2,6,3,1,2,2.0,0.4016420048040362,0.23462020401407607,966,34,12470,57532
42,0,23,21,1,4,1,2.0,0.4386819601159546,0.1888818385595607,3214,141,28870,41132
28,1,7,36,2,2,3,2.3333333333333335,0.4921789053345578,0.20861382916187426,9769,319,50807,19195
54,2,30,7,1,5,4,3.3333333333333335,0.402966871387484,0.14578620196626496,10163,393,53969,16033
325,2,32,15,1,4,5,3.3333333333333335,0.5161983834682221,0.061226761115575484,521,22,10814,59188
327,2,46,17,1,1,2,1.3333333333333333,0.2942441630198618,0.13067689408069116,3196,97,31737,38265
352,1,17,26,1,4,4,3.0,0.5221916325266653,0.08054025443630491,50,0,9691,60311
376,2,41,23,1,1,5,2.3333333333333335,0.3890293538879133,0.13433233975209846,6687,249,49060,20942
342,1,3,30,1,4,2,2.3333333333333335,0.5405873307839466,0.1814811678510886,176,7,8282,61720
37,0,23,3,5,4,4,4.333333333333333,0.5200408761230122,0.10166938189823704,45,0,7633,62369
304,1,23,43,2,1,3,2.0,0.3909684951711139,0.2642109512705442,3710,132,28526,41476
479,0,1,17,1,3,3,2.3333333333333335,0.46092796390538854,0.15144368048678683,4545,158,31320,38682
495,1,17,27,5,3,5,4.333333333333333,0.685367162972842,0.2580359049400221,61,0,8455,61547
147,3,39,40,1,5,5,3.6666666666666665,0.4226761674118434,0.17869453053522028,325,7,8872,61130
183,0,22,18,2,1,2,1.6666666666666667,0.5228658510631893,0.08755532867469364,344,13,10235,59767
415,1,20,43,1,1,5,2.3333333333333335,0.6926103636180252,0.24409479992872724,7027,284,51841,18161
294,2,48,17,2,1,4,2.3333333333333335,0.2859068323654625,0.175544660351265,1706,57,17537,52465
181,3,41,42,1,2,5,2.6666666666666665,0.4515042991716288,0.1854719034554573,7612,245,48211,21791
228,2,31,8,3,4,1,2.6666666666666665,0.6012506660468918,0.09882824986325141,53,0,9673,60329
73,2,33,16,1,4,2,2.3333333333333335,0.4960016388645219,0.16647637157865539,1550,63,18117,51885
60,2,29,15,2,2,5,3.0,0.38349189800243916,0.10709790557808688,2773,107,19415,50587
192,1,14,49,1,4,4,3.0,0.45736741228886124,0.13320098839683236,39,0,7264,62738
439,3,27,42,4,1,5,3.3333333333333335,0.485119212355124,0.12917377309698108,8149,337,45657,24345
46,2,46,16,3,5,1,3.0,0.34392279529900743,0.15577661843927482,949,48,13252,56750
110,1,17,48,4,2,1,2.3333333333333335,0.38126014785650747,0.07622693687345986,2761,83,22378,47624
440,1,6,46,1,2,1,1.3333333333333333,0.23132935336692134,0.22846446071892795,1205,45,16198,53804
221,1,11,37,2,4,3,3.0,0.49193823515096813,0.10886491389327721,13482,453,56345,13657
399,2,49,24,2,4,4,3.3333333333333335,0.3792330266425193,0.16666944524698968,34,0,7718,62284
465,0,24,11,3,1,3,2.3333333333333335,0.4210110275154478,0.11162768102300337,8017,247,50061,19941
120,1,19,37,2,5,3,3.3333333333333335,0.3799569375794309,0.11183459725182868,55,0,8719,61283
262,1,22,26,4,1,2,2.3333333333333335,0.5311960927055517,0.12243794918199255,7932,347,48583,21419
387,3,43,38,3,1,1,1.6666666666666667,0.4180621012122785,0.19810258002498035,2077,55,22122,47880
292,3,48,40,1,2,5,2.6666666666666665,0.5670220946150417,0.11463822660664577,4302,169,28226,41776
90,2,49,9,1,4,5,3.3333333333333335,0.5635733008185142,0.13729446072051066,35,0,8179,61823
231,3,40,44,1,1,3,1.6666666666666667,0.528802948474688,0.09364470765808965,1214,49,15228,54774
142,0,9,14,5,1,5,3.6666666666666665,0.5478803744762828,0.11002290399609048,11446,432,58792,11210
41,0,1,5,1,1,1,1.0,0.5275108487116915,0.1821949780086173,1616,41,20545,49457
404,2,41,9,3,3,1,2.3333333333333335,0.39041022124560465,0.1647553513030962,1229,28,14632,55370
455,3,49,26,3,1,2,2.0,0.5482838775335467,0.15611692239298755,6293,201,41384,28618
444,2,41,5,1,4,1,2.0,0.4147726161413074,0.1717008171836629,729,12,14881,55121
362,2,26,15,1,5,4,3.3333333333333335,0.47115177875117203,0.1860159486586868,132,0,9389,60613
119,2,44,1,1,3,4,2.6666666666666665,0.4549485774973801,0.11958300864878942,27,0,8326,61676
301,1,3,37,1,4,2,2.3333333333333335,0.5216519792994936,0.14468374544208212,4202,109,32556,37446
456,0,13,12,1,5,4,3.3333333333333335,0.5547173845286636,0.23607899218983083,8124,316,47272,22730
333,1,24,45,1,2,1,1.3333333333333333,0.5078421570092524,0.18055040878355819,1973,68,21957,48045
276,2,43,22,2,2,1,1.6666666666666667,0.549909426624279,0.14502107891317437,1277,52,16335,53667
58,2,26,7,5,1,5,3.6666666666666665,0.4558612488767048,0.0999962198818145,8955,383,48018,21984
390,1,8,39,4,1,3,2.6666666666666665,0.43710985222879883,0.1807839499407502,8772,315,51107,18895
212,3,43,49,1,1,4,2.0,0.5296542292932597,0.1348445679888747,2651,84,24818,45184
3,0,4,9,1,3,4,2.6666666666666665,0.4714979319954249,0.18437989595293897,109,3,7546,62456
0,0,3,2,4,5,1,3.3333333333333335,0.3765136069677878,0.33988862414822174,4177,145,27251,42751
474,0,14,17,5,3,3,3.6666666666666665,0.3697987853375174,0.1703362161911464,60,0,9034,60968
208,2,36,24,2,2,1,1.6666666666666667,0.4303141604518083,0.2148005105197549,4717,155,35936,34066
137,0,22,8,5,2,2,3.0,0.5390215673208338,0.09816932874338162,45,0,7952,62050
51,3,40,49,2,4,3,3.0,0.39739865998343044,0.2740250712797982,52,0,7843,62159
74,2,48,23,1,3,3,2.3333333333333335,0.6627325084912689,0.16037861505223558,50,0,8083,61919
127,1,2,49,2,2,2,2.0,0.5545865786880523,0.11305173258050472,752,17,11633,58369
109,2,29,22,2,3,1,2.0,0.5706738841737424,0.1729238178011109,3301,102,26332,43670
316,0,1,11,5,2,2,3.0,0.3889327223947988,0.14982928072466858,10721,379,49775,20227
170,0,18,12,2,4,5,3.6666666666666665,0.16829337370369876,0.07350749223145528,49,0,9892,60110
300,0,8,12,2,1,1,1.3333333333333333,0.4993879008390662,0.15562863819197595,361,9,11185,58817
414,0,17,2,5,2,2,3.0,0.3199941157497343,0.17131599483927404,11334,382,51604,18398
102,3,41,41,2,1,5,2.6666666666666665,0.3747243898734182,0.21580460531494117,41,0,8594,61408
67,0,20,20,1,4,2,2.3333333333333335,0.3107475890204,0.19767615280572037,3283,104,25847,44155
114,3,39,29,5,1,1,2.3333333333333335,0.3865634211796516,0.047927472878168335,7393,297,55264,14738
299,2,43,6,1,5,2,2.6666666666666665,0.6387216891730956,0.16660249228012197,906,29,13074,56928
9,2,28,7,1,1,5,2.3333333333333335,0.4106874755600833,0.10335040540122029,298,10,10478,59524
467,0,6,15,1,3,4,2.6666666666666665,0.31326117840779916,0.13236094584654673,10466,371,58991,11011
422,1,6,34,3,3,1,2.3333333333333335,0.6193255451018564,0.2108066447785637,11104,389,63111,6891
