AgentID,Cap,Role
89,2.67,class Agent.Leader,0
157,3.00,class Agent.Leader,0
64,2.33,class Agent.Leader,0
302,2.67,class Agent.Leader,0
7,3.00,class Agent.Leader,0
32,3.00,class Agent.Leader,0
451,2.00,class Agent.Leader,0
427,3.33,class Agent.Leader,0
484,1.67,class Agent.Leader,0
63,2.33,class Agent.Leader,0
442,2.33,class Agent.Leader,0
246,3.00,class Agent.Leader,0
83,1.67,class Agent.Leader,0
490,2.67,class Agent.Leader,0
68,2.00,class Agent.Leader,0
159,1.67,class Agent.Leader,0
2,2.33,class Agent.Leader,0
454,1.33,class Agent.Leader,0
85,2.67,class Agent.Leader,0
178,3.00,class Agent.Leader,0
477,4.00,class Agent.Leader,0
33,2.67,class Agent.Leader,0
406,2.33,class Agent.Leader,0
323,2.67,class Agent.Leader,0
130,3.33,class Agent.Leader,0
193,2.00,class Agent.Leader,0
52,2.67,class Agent.Leader,0
483,3.00,class Agent.Leader,0
433,2.00,class Agent.Leader,0
250,2.67,class Agent.Leader,0
320,2.67,class Agent.Leader,0
347,2.67,class Agent.Leader,0
385,2.67,class Agent.Leader,0
429,1.67,class Agent.Leader,0
210,1.67,class Agent.Leader,0
365,3.67,class Agent.Leader,0
72,2.33,class Agent.Leader,0
368,4.00,class Agent.Leader,0
122,3.33,class Agent.Leader,0
163,2.67,class Agent.Leader,0
272,2.33,class Agent.Leader,0
273,2.33,class Agent.Leader,0
469,2.00,class Agent.Leader,0
341,2.67,class Agent.Leader,0
324,2.67,class Agent.Leader,0
496,2.00,class Agent.Leader,0
270,3.67,class Agent.Leader,0
446,3.00,class Agent.Leader,0
143,2.67,class Agent.Leader,0
4,2.67,class Agent.Leader,0
59,2.33,class Agent.Leader,0
416,2.67,class Agent.Leader,0
449,1.33,class Agent.Leader,0
436,2.33,class Agent.Leader,0
251,3.00,class Agent.Leader,0
450,3.00,class Agent.Leader,0
154,2.67,class Agent.Leader,0
418,2.33,class Agent.Leader,0
349,3.00,class Agent.Leader,0
185,3.67,class Agent.Leader,0
27,2.33,class Agent.Leader,0
457,3.33,class Agent.Leader,0
133,3.67,class Agent.Leader,0
360,2.33,class Agent.Leader,0
