FROM,Cap,Role,TO,Distance
253,2.00,class Agent.Leader,81,2
253,2.00,class Agent.Leader,317,1
253,2.00,class Agent.Leader,335,1
253,2.00,class Agent.Leader,370,1
253,2.00,class Agent.Leader,496,1
253,2.00,class Agent.Leader,246,1
319,3.00,class Agent.Leader,268,1
319,3.00,class Agent.Leader,138,1
319,3.00,class Agent.Leader,438,1
319,3.00,class Agent.Leader,14,1
319,3.00,class Agent.Leader,40,1
319,3.00,class Agent.Leader,421,1
416,2.67,class Agent.Leader,102,1
416,2.67,class Agent.Leader,374,1
416,2.67,class Agent.Leader,213,2
416,2.67,class Agent.Leader,399,1
416,2.67,class Agent.Leader,339,2
110,2.33,class Agent.Leader,241,1
110,2.33,class Agent.Leader,148,2
110,2.33,class Agent.Leader,236,1
110,2.33,class Agent.Leader,30,1
110,2.33,class Agent.Leader,175,1
333,1.33,class Agent.Leader,349,2
333,1.33,class Agent.Leader,86,1
333,1.33,class Agent.Leader,448,1
333,1.33,class Agent.Leader,277,1
333,1.33,class Agent.Leader,409,1
333,1.33,class Agent.Leader,75,1
333,1.33,class Agent.Leader,96,1
17,2.00,class Agent.Leader,115,1
17,2.00,class Agent.Leader,197,1
17,2.00,class Agent.Leader,242,1
17,2.00,class Agent.Leader,445,1
17,2.00,class Agent.Leader,133,1
17,2.00,class Agent.Leader,397,1
17,2.00,class Agent.Leader,36,1
481,2.33,class Agent.Leader,97,1
481,2.33,class Agent.Leader,162,1
481,2.33,class Agent.Leader,173,1
481,2.33,class Agent.Leader,284,1
481,2.33,class Agent.Leader,413,1
481,2.33,class Agent.Leader,371,1
481,2.33,class Agent.Leader,109,1
358,2.33,class Agent.Leader,5,1
358,2.33,class Agent.Leader,212,1
358,2.33,class Agent.Leader,131,1
358,2.33,class Agent.Leader,15,1
358,2.33,class Agent.Leader,250,1
358,2.33,class Agent.Leader,249,1
358,2.33,class Agent.Leader,6,1
417,3.33,class Agent.Leader,95,1
417,3.33,class Agent.Leader,236,1
417,3.33,class Agent.Leader,146,1
417,3.33,class Agent.Leader,389,1
417,3.33,class Agent.Leader,229,1
417,3.33,class Agent.Leader,244,1
417,3.33,class Agent.Leader,64,1
436,2.33,class Agent.Leader,12,1
436,2.33,class Agent.Leader,429,1
436,2.33,class Agent.Leader,149,1
436,2.33,class Agent.Leader,442,2
436,2.33,class Agent.Leader,384,1
108,2.67,class Agent.Leader,24,1
108,2.67,class Agent.Leader,125,1
108,2.67,class Agent.Leader,395,1
108,2.67,class Agent.Leader,87,1
108,2.67,class Agent.Leader,342,1
108,2.67,class Agent.Leader,346,1
354,2.67,class Agent.Leader,377,1
354,2.67,class Agent.Leader,482,1
354,2.67,class Agent.Leader,174,1
354,2.67,class Agent.Leader,282,1
354,2.67,class Agent.Leader,430,1
354,2.67,class Agent.Leader,473,1
354,2.67,class Agent.Leader,233,1
394,3.67,class Agent.Leader,1,1
394,3.67,class Agent.Leader,82,1
394,3.67,class Agent.Leader,375,1
394,3.67,class Agent.Leader,99,1
394,3.67,class Agent.Leader,256,1
394,3.67,class Agent.Leader,58,1
394,3.67,class Agent.Leader,427,1
464,3.67,class Agent.Leader,320,1
464,3.67,class Agent.Leader,406,1
