Agent ID,Area ID,x,y,Resource: 1,Resource: 2,Resource: 3,Resouce Average,Leader Evaluation,Member Evaluation,Allocated Subtasks,Refused Subtasks,Member Count,Leader Count
118,0,10,23,1,2,2,1.6666666666666667,0.3203956998995744,0.14355169285363942,165,0,50134,99867
272,0,15,47,4,1,2,2.3333333333333335,0.4551735206175197,0.23004388293149303,664,0,44992,105009
292,0,48,40,1,2,5,2.6666666666666665,0.2655300449792586,0.2084951058050474,94,0,37595,112406
296,0,22,36,3,5,1,3.0,0.4027222232477287,0.19698737843820763,117,0,42631,107370
216,0,43,41,4,1,1,2.0,0.48984141041442514,0.2079447025997395,105,0,39877,110124
478,0,1,36,5,5,2,4.0,0.5654245103778365,0.14036520877850922,97,0,34916,115085
0,0,3,2,4,5,1,3.3333333333333335,0.5695836594083099,0.1187805869833473,65,0,33067,116934
42,0,23,21,1,4,1,2.0,0.41790556188954475,0.19672093993937906,156,0,37483,112518
231,0,40,44,1,1,3,1.6666666666666667,0.510208060924719,0.15023672664458365,110,0,39908,110093
119,0,44,1,1,3,4,2.6666666666666665,0.4440101315334662,0.2373220091868311,11961,33,115437,34564
183,0,22,18,2,1,2,1.6666666666666667,0.45778997210851446,0.2020097290161375,8324,41,113207,36794
420,0,29,48,4,1,5,3.3333333333333335,0.6038161018373013,0.90114517987933,16855,23,147805,2196
300,0,8,12,2,1,1,1.3333333333333333,0.4411843435691722,0.19409905960219231,6396,7,130182,19819
166,0,1,23,3,2,5,3.3333333333333335,0.41715984883155083,0.2580871215220882,125,0,43485,106516
238,0,21,16,1,1,2,1.3333333333333333,0.46051353877255674,0.16402663763711492,5236,16,102850,47151
176,0,23,22,4,2,2,2.6666666666666665,0.5011956058494733,0.279300236359997,186,0,55792,94209
429,0,34,46,2,2,1,1.6666666666666667,0.6055730639027871,0.17376829807622135,79,0,33894,116107
217,0,16,27,2,4,4,3.3333333333333335,0.5291497189485732,0.15283880387360455,128,0,44792,105209
376,0,41,23,1,1,5,2.3333333333333335,0.6546258710453235,0.3095717521393732,3898,11,102996,47005
18,0,6,38,2,1,4,2.3333333333333335,0.5137672631697842,0.09546578971089013,112,0,39346,110655
310,0,22,32,4,2,2,2.6666666666666665,0.5060659018733056,0.14878754742159603,103,0,42891,107110
115,0,46,4,5,2,4,3.6666666666666665,0.6116770451975341,0.9992643709893875,25807,60,149071,930
490,0,8,20,4,1,3,2.6666666666666665,0.4913235190928892,0.16207309388611996,101,0,39115,110886
116,0,22,44,2,3,5,3.3333333333333335,0.5608132686695089,0.14031531385227478,368,2,39941,110060
236,0,0,47,3,4,3,3.3333333333333335,0.5007647471512616,0.18512724702743152,139,0,44766,105235
202,0,1,9,1,1,5,2.3333333333333335,0.4872257218080964,0.18556545470052124,68,0,30904,119097
324,0,35,49,1,4,3,2.6666666666666665,0.5366695888114102,0.16248544096132594,93,0,38003,111998
62,0,44,10,2,2,1,1.6666666666666667,0.5728168517245928,0.15982733244230823,1737,1,49738,100263
339,0,41,7,3,4,3,3.3333333333333335,0.5737020473215768,0.3162229578001179,330,0,57719,92282
423,0,14,2,1,2,5,2.6666666666666665,0.4516424279925783,0.28700452959997064,6911,9,94424,55577
73,0,33,16,1,4,2,2.3333333333333335,0.43709845258267266,0.18163703401571546,88,0,36563,113438
281,0,6,4,5,3,4,4.0,0.5239408228987974,0.1593387684894589,224,0,59488,90513
323,0,38,2,4,3,1,2.6666666666666665,0.5905590672599474,0.11115340620258894,130,0,42335,107666
177,0,26,0,3,4,2,3.0,0.5179211734772919,0.14162129493568562,110,0,46308,103693
418,0,25,3,1,4,2,2.3333333333333335,0.589454560368945,0.10775825285020528,86,0,33700,116301
108,0,5,30,1,5,2,2.6666666666666665,0.49038660990834304,0.10358918174106273,138,2,38258,111743
10,0,32,12,4,1,4,3.0,0.5065091378095833,0.22945328665505121,265,0,64348,85653
193,0,38,41,1,2,3,2.0,0.3414309956749535,0.22509521889973116,124,0,49677,100324
58,0,26,7,5,1,5,3.6666666666666665,0.45184077972127495,0.15859798637848643,119,0,42988,107013
4,0,48,4,1,4,3,2.6666666666666665,0.5709917887229167,0.18638438755175377,67,0,34957,115044
447,0,2,34,1,3,2,2.0,0.4839014255458372,0.14315572985199843,74,0,35892,114109
373,0,13,9,4,1,3,2.6666666666666665,0.5951662786930427,0.16520526080545025,86,0,38272,111729
276,0,43,22,2,2,1,1.6666666666666667,0.48596351625755146,0.277746686969501,80,0,35966,114035
190,0,4,15,3,3,4,3.3333333333333335,0.4492810015313603,0.1733957674160109,159,0,51344,98657
357,0,40,30,1,5,4,3.3333333333333335,0.5790067210100038,0.1447941225656504,91,0,38608,111393
371,0,7,25,1,5,4,3.3333333333333335,0.4732934305429014,0.2474571029588453,169,0,41190,108811
351,0,35,38,2,3,3,2.6666666666666665,0.4517824526141048,0.07836717244011668,97,0,42235,107766
409,0,10,41,3,3,3,3.0,0.37662303798231356,0.086094084603069,137,0,46323,103678
78,0,22,41,4,1,5,3.3333333333333335,0.513731765552122,0.1798687009224155,122,0,37967,112034
