Agent ID,Area ID,x,y,Resource: 1,Resource: 2,Resource: 3,Resouce Average,Leader Evaluation,Member Evaluation,Allocated Subtasks,Refused Subtasks,Member Count,Leader Count
354,2,40,13,3,1,4,2.6666666666666665,0.9439996034532498,0.08070636125740188,84,4,12207,57795
381,2,32,4,2,4,4,3.3333333333333335,0.9130716112701984,0.0629485246131271,26,0,11049,58953
2,3,45,31,2,4,1,2.3333333333333335,0.22547946467730934,0.8957229448231789,10211,84,69392,610
92,2,40,16,2,2,2,2.0,0.8746085032215574,0.06464238270675228,60,2,10864,59138
376,2,41,23,1,1,5,2.3333333333333335,0.7772558588636409,0.10536936879050178,263,10,9964,60038
136,1,4,43,1,4,2,2.3333333333333335,0.7545014711200281,0.08456962749154279,275,8,11804,58198
318,3,40,28,1,4,1,2.0,0.7035437953771565,0.08817129505817035,151,0,10289,59713
43,3,31,27,4,3,3,3.3333333333333335,0.6239346008547837,0.1363837109585319,29,0,11049,58953
110,1,17,48,4,2,1,2.3333333333333335,0.5358826407875026,0.02830155637901618,10,0,10490,59512
407,2,42,2,4,3,3,3.3333333333333335,0.7686549773229309,0.06922831915704279,12,0,10968,59034
163,0,6,17,2,5,1,2.6666666666666665,0.522564944565361,0.048912357568757885,12,0,9635,60367
336,1,23,42,3,2,5,3.3333333333333335,0.7900752286277303,0.055185893917741896,33,0,8796,61206
42,0,23,21,1,4,1,2.0,0.5058743449984098,0.24837574683145605,356,7,12002,58000
416,3,40,32,4,2,2,2.6666666666666665,0.4392631499887401,0.2527839932158859,3090,25,23283,46719
458,3,31,47,3,5,5,4.333333333333333,0.4897975456736985,0.06201604126610081,20,0,7595,62407
367,1,3,33,1,4,4,3.0,0.6278789457986109,0.05242241213033618,21,0,11706,58296
209,1,14,31,1,4,1,2.0,0.7931314101600606,0.21153800145608997,292,8,12315,57687
156,3,27,33,4,2,2,2.6666666666666665,0.6822120797768372,0.04796133651766504,55,2,8927,61075
74,2,48,23,1,3,3,2.3333333333333335,0.922648132402711,0.13525758939799354,17,0,10886,59116
186,2,44,21,4,2,3,3.0,0.20550474219486417,0.9441187891927253,14037,80,69780,222
334,0,0,0,5,2,2,3.0,0.2910103489141215,0.024041106360245344,15,0,9187,60815
4,2,48,4,1,4,3,2.6666666666666665,0.9248867159093342,0.12124379280696553,103,3,7974,62028
415,1,20,43,1,1,5,2.3333333333333335,0.7547291547542092,0.1273013340194617,210,12,11175,58827
326,2,38,19,4,2,5,3.6666666666666665,0.7544626401570765,0.16697366840481204,42,0,8965,61037
449,0,24,4,2,1,1,1.3333333333333333,0.5648969237122136,0.09498206366759075,20,0,10224,59778
455,3,49,26,3,1,2,2.0,0.7920314349904707,0.03175635234914651,1019,29,15758,54244
201,3,34,37,2,1,4,2.3333333333333335,0.6326573104670986,0.13147723689749455,303,13,11633,58369
51,3,40,49,2,4,3,3.0,0.5680342961852761,0.1983586628866776,17,0,9443,60559
258,0,10,3,2,2,4,2.6666666666666665,0.4968040757102779,0.04510037608636518,11,0,7754,62248
385,1,10,27,1,3,4,2.6666666666666665,0.7355110103045646,0.06849940316674337,26,0,9908,60094
304,1,23,43,2,1,3,2.0,0.6233697678646756,0.05134513192758233,25,0,9491,60511
491,2,47,17,3,2,2,2.3333333333333335,0.9179164028703575,0.14880926444267656,20,0,9858,60144
128,1,24,34,4,3,1,2.6666666666666665,0.3708137136471881,0.06184339771786786,2338,43,22823,47179
288,1,10,25,1,1,1,1.0,0.7226403836228457,0.15164531457262298,26,0,13228,56774
252,1,14,30,1,5,5,3.6666666666666665,0.7999744153217739,0.17388245229913155,380,20,11489,58513
359,3,37,29,1,2,1,1.3333333333333333,0.6114626946165128,0.04015472327450256,28,0,9632,60370
355,1,24,47,1,5,3,3.0,0.6995110510507488,0.10406278790371834,19,0,8950,61052
362,2,26,15,1,5,4,3.3333333333333335,0.8917610641188587,0.05021543474224236,25,0,10401,59601
466,2,47,8,1,4,2,2.3333333333333335,0.7795729016891569,0.044884638175908265,23,0,9980,60022
139,0,3,16,1,1,5,2.3333333333333335,0.2886426696483482,0.05109989635201112,13,0,8672,61330
239,0,17,7,2,3,3,2.6666666666666665,0.29088302676676425,0.017365050890978048,17,0,9375,60627
170,0,18,12,2,4,5,3.6666666666666665,0.5470526713704057,0.11085449547173319,26,0,10351,59651
340,1,19,27,2,2,1,1.6666666666666667,0.6125421414859685,0.0860329344985479,267,7,10847,59155
70,1,6,37,5,5,1,3.6666666666666665,0.7750264082714934,0.054355786921123285,24,0,10025,59977
294,2,48,17,2,1,4,2.3333333333333335,0.7327791888717726,0.04260890951470852,32,0,13754,56248
195,0,19,12,1,2,2,1.6666666666666667,0.5330622780757343,0.02605237521060811,29,0,11471,58531
88,3,30,28,2,2,4,2.6666666666666665,0.6879915321414198,0.21789028334410124,1986,40,17761,52241
39,1,5,32,4,2,5,3.6666666666666665,0.5652940599972374,0.08169135594026858,31,0,10668,59334
56,1,15,34,4,3,4,3.6666666666666665,0.7392547816040346,0.026106621643666613,27,0,11492,58510
216,3,43,41,4,1,1,2.0,0.38951699238356396,0.12757733086410383,74,3,12423,57579
453,3,32,36,5,4,2,3.6666666666666665,0.6313974503543799,0.013684995274019954,24,0,11195,58807
181,3,41,42,1,2,5,2.6666666666666665,0.41343513900614376,0.1386619971916679,196,7,10778,59224
343,0,7,4,4,1,2,2.3333333333333335,0.4915269677468026,0.07033894912580677,454,9,13369,56633
119,2,44,1,1,3,4,2.6666666666666665,0.9070900592069102,0.05219924896595299,16,0,9860,60142
394,0,12,4,3,3,5,3.6666666666666665,0.4190063154325013,0.22210469047113998,30,0,11184,58818
187,1,6,29,1,5,4,3.3333333333333335,0.691200726150637,0.11380868601504168,29,0,11038,58964
174,2,37,8,3,5,2,3.3333333333333335,0.8321548273387815,0.14963322539999735,38,0,10524,59478
108,1,5,30,1,5,2,2.6666666666666665,0.7206557477884601,0.08992694860439761,21,0,9205,60797
147,3,39,40,1,5,5,3.6666666666666665,0.26970986251414736,0.09340060541042366,36,0,10349,59653
327,2,46,17,1,1,2,1.3333333333333333,0.8936941870116072,0.07029278536348114,32,0,10640,59362
238,0,21,16,1,1,2,1.3333333333333333,0.5050530437698211,0.07920740271014938,210,8,12260,57742
164,3,35,29,1,3,5,3.0,0.7571034043189383,0.23553501749340053,269,6,9575,60427
90,2,49,9,1,4,5,3.3333333333333335,0.8531562757502241,0.029751777030076827,14,0,8916,61086
155,2,28,15,2,2,1,1.6666666666666667,0.877663129039081,0.18346872068119507,302,9,12195,57807
276,2,43,22,2,2,1,1.6666666666666667,0.07140082356934783,0.03830717812460668,466,10,12324,57678
230,3,37,26,1,3,5,3.0,0.6535431234587151,0.09058078586961155,32,0,10348,59654
114,3,39,29,5,1,1,2.3333333333333335,0.7182965942016821,0.14480448005227672,151,3,9367,60635
253,2,32,18,1,1,4,2.0,0.8162647859446066,0.18063698589852226,154,11,10598,59404
211,3,26,42,2,5,2,3.0,0.7531869368388407,0.11294771251867217,503,1,13158,56844
6,3,29,41,5,2,2,3.0,0.5457243779158008,0.10459978637373442,1376,32,14527,55475
41,0,1,5,1,1,1,1.0,0.4884553257264467,0.11564945217529042,150,2,11733,58269
62,2,44,10,2,2,1,1.6666666666666667,0.790411714812479,0.12645727750812286,202,1,11327,58675
436,3,37,48,2,1,4,2.3333333333333335,0.38436722028898057,0.10034554806656859,783,19,14426,55576
361,2,42,0,1,3,2,2.0,0.8217990792102925,0.055264859648765007,29,0,10669,59333
100,1,24,31,4,1,3,2.6666666666666665,0.7367570691263562,0.05310596656549994,472,26,12377,57625
450,3,34,48,3,1,5,3.0,0.47657949837487296,0.03430996397050797,6170,65,46312,23690
477,0,10,18,3,4,5,4.0,0.4385397655899101,0.1415861941084698,38,0,9428,60574
63,3,34,27,5,1,1,2.3333333333333335,0.6902048862687546,0.15291767343465945,23,0,10141,59861
231,3,40,44,1,1,3,1.6666666666666667,0.6772656760349883,0.060040457418901155,409,9,10809,59193
72,0,18,24,1,5,1,2.3333333333333335,0.4962774250787431,0.12965401405428534,32,0,12483,57519
350,0,15,14,1,1,1,1.0,0.6493152770001415,0.06662991067352836,88,2,9826,60176
73,2,33,16,1,4,2,2.3333333333333335,0.835314017457111,0.092984921757003,19,0,11227,58775
