tick,executed task,wasted task,communication time,executed time,waiting time,all executed time,leader count,member count,reciprocity leader count,reciprocity member count,message count,overflowed task,allocate area 0 member,allocate area 1 member,allocate area 2 member,allocate area 3 member
0,0,0,0.0,0.0,0.0,0.0,6,120,0,0,0,0,0,0,0,0
100,203,40,1.9534219462352553,3.090565838040918,5.238720904017911,9.006397027345923,48,78,0,0,8714,0,318,161,449,288
200,339,41,1.8915730383778446,3.272228554629152,7.4643522424671005,12.872999834374568,47,79,0,0,10424,0,441,171,578,347
300,351,44,1.8684970668834575,3.294614787440828,7.515038649121839,13.10079841654512,49,77,1,2,10496,0,461,156,590,337
400,352,54,1.839092058110209,3.2194586763689563,7.861051844245012,12.701500960643816,48,78,3,5,10657,0,450,146,621,322
500,347,67,1.8246769121877906,3.2410419729914666,7.1636274535522375,12.567879037384778,50,76,9,10,10542,0,449,129,607,302
600,343,64,1.8022382594375028,3.2293520078237496,7.460476522729323,12.434597799267706,48,77,15,13,10326,0,436,135,625,296
700,343,70,1.7834473319666513,3.25327060815678,8.083757360448928,12.499593645040955,48,77,19,17,10349,0,444,112,654,275
800,322,86,1.7738700348613237,3.2661728663478686,7.58187804099781,12.08082859605184,47,79,25,20,9945,0,416,98,609,250
900,311,81,1.7686859602633591,3.259860138344385,7.894808697091151,11.799935774555834,46,80,27,21,9722,0,424,91,615,234
1000,309,87,1.753267680122825,3.241111851385173,7.809164985545845,12.138115984438944,47,79,30,24,9584,0,401,82,595,244
1100,317,89,1.7303996033026592,3.189812239312955,7.787665812134301,12.049434908597304,47,79,33,25,9735,0,422,82,641,248
1200,333,87,1.7146788887616529,3.2255066203492984,8.211527782289489,12.304657496742825,46,80,34,27,9815,0,444,86,669,243
1300,328,86,1.7084671072666193,3.2021617005236855,7.517230757352555,11.873802307706363,45,81,35,26,9482,0,433,78,638,240
1400,318,96,1.696814932774742,3.2422882364047734,8.181555177184595,11.877825367701394,46,80,37,30,9536,0,396,73,649,242
1500,322,86,1.6891800862578454,3.236241550299249,7.868037528934895,11.720212068072133,43,82,36,30,9361,0,417,72,669,254
1600,329,79,1.6698386386825683,3.2371364321614164,8.499062204155992,12.265495904696,44,81,37,31,9342,0,433,64,670,248
1700,327,83,1.6609706142431102,3.2069641628431618,7.789626496736494,11.79019807879805,42,84,36,30,9160,0,416,72,670,235
1800,310,80,1.667003709809425,3.241609488324252,7.987379823280955,11.902621536855525,43,83,37,32,9091,0,406,73,666,228
1900,330,80,1.6463039859615825,3.19895728484136,8.472440664165973,11.95145615812384,42,84,37,34,9114,0,396,69,688,247
2000,319,84,1.64519227176094,3.2075799126622018,8.424809066998641,11.604781182752022,40,85,35,34,9073,0,380,61,664,235
2100,312,85,1.625850547252297,3.200146132340537,8.478118540358283,11.558380612304681,41,84,37,36,8999,0,389,59,677,230
2200,318,71,1.6160857475858668,3.1812159744748247,8.117395495214677,11.347169267780341,42,84,37,35,8890,0,411,59,704,231
2300,322,76,1.616317967561235,3.1366098273278458,7.938707714219573,11.402053007088375,42,84,38,37,8914,0,388,55,716,234
2400,328,78,1.6026560084661827,3.21944734886891,8.434432971543322,11.893827360202895,41,85,38,35,8914,0,408,53,727,224
2500,320,78,1.5939364312178872,3.215070517209225,8.522425673240964,11.830439081531493,43,83,40,40,8749,0,384,53,711,232
2600,330,72,1.577523519496989,3.1721234184729803,8.250244557399789,11.814441148684036,42,84,40,41,8935,0,400,54,766,235
2700,336,78,1.576405219332832,3.1895583128200373,8.29120151610178,11.946961405779195,41,85,39,41,8827,0,377,57,772,219
2800,323,80,1.5818103217361064,3.1678364732466107,8.508334826065617,11.56752995340977,41,85,39,41,8657,0,381,45,737,211
2900,319,70,1.5660713748732045,3.202317778536114,8.371431568851804,11.44493860000204,41,85,39,41,8561,0,385,51,738,213
3000,322,73,1.5601138464821944,3.218579840718079,8.824519815519075,11.950473943224592,41,85,39,44,8590,0,384,41,762,217
3100,327,65,1.5522196184769814,3.239346254088573,8.687910486409857,11.855387210607715,41,85,40,46,8534,0,394,53,785,203
3200,339,73,1.560327253465816,3.1682899654445493,8.171371421466562,11.49439562368019,40,85,40,43,8669,0,403,55,767,225
3300,321,65,1.565636112943261,3.2396674618964583,7.989261570220567,11.298273535187429,41,85,41,46,8317,0,387,55,753,214
3400,329,73,1.551791022744713,3.1915041682778154,8.370668155331943,11.559183338522706,42,84,41,46,8533,0,395,52,781,207
3500,334,65,1.549570752578675,3.217278100723313,8.318732454657491,11.768942799875187,41,85,40,48,8403,0,402,55,765,225
3600,332,60,1.5440367045610799,3.227218143343083,8.11886742378043,11.534541024532516,41,85,40,50,8443,0,390,58,781,234
3700,340,60,1.5284692332964074,3.191291733497644,8.314911276322889,11.755254272479274,41,85,40,50,8481,0,409,55,792,231
3800,340,52,1.531677116724701,3.2132403925508077,8.677134658947072,11.993800344692755,39,87,38,46,8183,0,395,53,785,233
3900,332,47,1.5502039045705063,3.226881189353939,8.696709977072976,11.769301839258135,38,88,38,48,8204,0,394,60,777,226
4000,321,53,1.5469438300350367,3.2303352080720713,8.612386113572043,11.765328135440217,40,86,39,51,8176,0,384,58,752,214
4100,344,55,1.539556514625555,3.21743533231399,8.455298390476358,12.035955249993389,40,86,40,50,8463,0,407,61,807,239
4200,330,63,1.5277357076722726,3.252726847730997,8.499704795808052,12.100746248951564,40,86,39,50,8377,0,374,58,790,235
4300,338,49,1.5351634610516254,3.2117761188037077,8.443984953408744,12.096314860654655,39,87,39,51,8301,0,396,60,804,236
4400,339,50,1.5370814499258636,3.263354937539931,8.92722120160257,12.418508925425643,40,86,39,52,8356,0,409,65,808,227
4500,341,47,1.5358291607872039,3.1919757149163757,8.566259233956794,12.100532083200799,39,86,39,49,8297,0,402,59,808,225
4600,347,51,1.539700352636912,3.2100669857630724,8.659555460866754,12.092106846824043,40,86,39,50,8369,0,418,62,803,225
4700,351,48,1.529504776912234,3.167882339420799,8.524697950990058,12.092836481974162,39,87,38,49,8422,0,420,62,818,240
4800,345,53,1.5261926546735638,3.1787145845656397,8.877844371592,12.128302266478437,40,86,39,53,8505,0,419,52,823,231
4900,355,55,1.5192184006783074,3.1586587996858726,8.665477150964195,12.196577863344912,39,87,38,53,8642,0,437,61,814,235
5000,355,53,1.524623757578148,3.145252709652301,8.309583197141142,12.011295024606026,39,87,38,49,8535,0,440,61,805,240
5100,345,50,1.528280429782202,3.1658321576420656,8.497674006202441,12.194995862392059,40,86,38,51,8589,0,424,62,816,243
5200,346,53,1.5093841074531396,3.162325469747385,9.239491433238786,12.332959699791791,38,88,36,51,8538,0,425,58,811,223
5300,345,51,1.5125187501900532,3.1899078482124894,9.171079037817112,12.395357361761238,37,89,36,48,8567,0,420,53,817,229
5400,347,58,1.5053440341461441,3.147282739776615,8.79888752109407,12.152419962753493,40,86,38,53,8669,0,436,49,815,236
