tick,executed task,wasted task,communication time,executed time,waiting time,all executed time,leader count,member count,reciprocity leader count,reciprocity member count,message count,overflowed task,average subtask queue size
0,0,0,0.0,0.0,0.0,0.0,22,477,0,0,0,0,0.0
100,685,154,1.9653452761238401,3.1431397068231983,6.7047539193570715,9.035382379394905,158,341,0,0,31630,0,1.6780269858022228
200,1101,168,1.9027627661860942,3.3245347203306714,10.65995963901904,12.860354955681833,162,337,0,0,37950,0,3.686139190661825
300,1164,174,1.885597505156721,3.292231175457631,11.077741316126161,13.1516015830986,170,330,4,10,38964,362,4.0142212782362625
400,1178,205,1.8577256555965505,3.26291687137048,10.807577672668346,12.901347016769023,172,327,15,26,39648,402,3.967127654481918
500,1172,251,1.834409536609088,3.2673227712194564,10.893666195954443,12.789835336195821,175,324,28,45,39765,404,3.9098150096376854
600,1165,257,1.81518345270097,3.2620050713759468,10.853444216107954,12.616983394931463,172,327,49,59,39046,392,3.771770652085437
700,1168,281,1.7965735948740076,3.290358544876372,10.910186194674006,12.563922904655204,170,330,68,73,38911,364,3.752238501155377
800,1135,315,1.7881482511816824,3.280917018268294,10.810491936375234,12.29218091415894,169,330,81,84,38035,375,3.510954022324518
900,1131,325,1.7780254753100297,3.3050227111804293,10.902497519062772,12.24290150160831,169,330,94,89,37813,373,3.4264194101337697
1000,1134,322,1.7631494396828122,3.2765308274945597,10.901813128320256,12.384733364128804,171,328,102,96,37396,334,3.5874655474077737
1100,1159,351,1.7438212512086781,3.2624579455706946,11.005264387337329,12.261830621431002,170,329,110,102,37636,326,3.5927453623715904
1200,1169,340,1.7371397134436708,3.2537313817181035,11.426443778047632,12.207325268081807,169,330,117,113,37399,323,3.58089427153128
1300,1145,352,1.726373103118086,3.2457187199587394,11.135240122270824,12.027705081368813,165,334,119,116,36970,335,3.4836738720572162
1400,1170,345,1.7082092340213482,3.258939366407654,10.85244696818243,12.122435896466895,166,333,124,122,36579,299,3.5134345754199363
1500,1161,330,1.7016732852414511,3.26078800274231,10.518405589519945,11.977096032982057,164,336,125,127,36150,334,3.4292018902366443
1600,1193,306,1.6892206104376195,3.267774135642498,11.057851935928795,12.308069791609292,161,338,127,131,36047,314,3.734315308494164
1700,1186,321,1.681065867055188,3.262525726935615,10.855782326848132,11.998853279238997,164,335,131,140,36006,303,3.550466110738092
1800,1201,310,1.6712333070035084,3.235617658757284,10.764507471200734,12.135966551334732,162,337,132,142,35997,322,3.6721406865228676
