tick,executed task,wasted task,communication time,executed time,waiting time,all executed time,leader count,member count,reciprocity leader count,reciprocity member count,message count,overflowed task,rejected task,allocate area 0 member
0,0,0,0.0,0.0,0.0,0.0,8,492,0,0,0,0,0,0
100,843,136,1.930905330787976,3.12205064224137,1.6086384590064846,6.7581203725106604,128,372,0,0,25761,0,7,3366
200,1076,106,1.9524986083442861,3.4033533762545556,2.4172802420402535,8.333407495937127,116,384,0,0,26698,0,16,3650
300,1048,73,1.918248023517349,3.3446877641963657,2.200400033395719,8.007066550279642,138,362,0,0,26827,0,16,3711
400,1128,71,1.8962125147731612,3.263419017782338,2.456709817549054,8.119612987846304,129,371,0,0,27952,0,14,3936
500,1095,71,1.860471274855627,3.3172111860674103,2.9365331833576587,8.62224781868793,128,372,0,0,26982,0,18,3740
600,1126,61,1.8886588336120431,3.2875600193622363,2.586994876678894,8.320680576883976,130,370,0,0,28296,0,23,3941
700,1132,83,1.865212680016229,3.2736040292992756,2.75946008265279,8.36593047334226,144,356,0,0,29412,0,29,4105
800,1138,74,1.9125695599453356,3.339167353344357,3.1827768716012046,8.958688341913945,142,358,0,0,29742,0,37,4145
900,1138,72,1.8915145810236293,3.3386925366109192,3.0153286178436014,8.769283275087036,132,368,0,0,28380,0,27,3949
1000,1100,58,1.8628120003312003,3.2879235081640394,2.5228602292015587,8.172039701229485,133,367,0,0,27487,0,15,3871
1100,1103,67,1.8674766115695323,3.3054624637712395,2.7413565007493355,8.43049042517711,130,370,0,0,27410,0,29,3837
1200,1103,61,1.8511838545421184,3.3306395220945704,2.3924432465339893,8.118593662443619,124,376,0,0,27356,0,17,3847
1300,1080,61,1.8499708638775925,3.3431497265717613,2.1976790909305532,7.908629633199775,136,364,0,0,27218,0,14,3823
1400,1108,55,1.8438340565488145,3.348949289474207,2.7281918836442167,8.34325081231265,120,380,0,0,27579,0,29,3880
1500,1130,65,1.826514388952613,3.334755469981862,2.7272966317656966,8.384862448451955,113,387,0,0,28723,0,31,3980
1600,1047,44,1.8130196983997764,3.3179197542876504,1.8812885567478679,7.529988759932838,136,364,0,0,25960,0,16,3616
1700,1139,69,1.8272698072269815,3.3123834206849194,2.457515356867587,8.066626647127446,132,368,0,0,29140,0,23,4083
1800,1199,54,1.8247097236030583,3.2689573762132396,2.653414907936599,8.249610670409009,131,369,0,0,30300,0,22,4249
1900,1093,38,1.8070929037728087,3.3093529412681972,2.288676851857437,7.890814292822933,135,365,0,0,27401,0,19,3908
2000,1125,48,1.806503622311925,3.227744505063029,2.4354370793426354,7.944763774531649,138,362,0,0,27730,0,13,3906
2100,1151,36,1.799777976825749,3.204701003356642,2.6927837807536306,8.175115496150818,128,372,0,0,27949,0,18,3970
2200,1159,42,1.8168071698166681,3.187861331250702,2.830426332346269,8.274485141292834,142,358,0,0,30107,0,39,4293
2300,1106,28,1.8050932932130197,3.2421025272509167,2.6358481243680725,8.171813158373766,132,368,0,0,27057,0,24,3825
2400,1168,41,1.7986801780432569,3.2856891630781395,2.7707273910391335,8.306249119781302,138,362,0,0,30036,0,32,4277
2500,1102,49,1.8142276756494935,3.2116352172035234,2.458440970603766,8.060785865899906,139,361,0,0,28043,0,28,3940
2600,1127,45,1.8006071093137115,3.2374824283890797,2.5649719938720166,8.096297291382575,129,371,0,0,28058,0,31,3978
2700,1116,43,1.7848994561765132,3.2688809617539487,2.738255584116588,8.215295458019433,136,364,0,0,28925,0,40,4045
2800,1137,43,1.7576148458061518,3.2347165489970973,2.7492442122946055,8.203280016416649,134,366,0,0,28142,0,26,3980
2900,1122,42,1.78815989563307,3.232731634940503,2.4374971660823626,7.9175829414362475,134,366,0,0,27695,0,24,3970
3000,1111,40,1.797567371714749,3.2377625160837518,2.785316292820119,8.270328037400711,133,367,0,0,29165,0,27,4113
3100,1175,28,1.7689286893343334,3.2953507746607396,2.911924089622606,8.451904604699827,134,366,0,0,28668,0,27,4099
3200,1120,30,1.7616856947280377,3.2608729143521997,2.415194040569321,7.862139151492548,143,357,0,0,27649,0,17,3941
3300,1143,57,1.7764477453529137,3.2922246404640902,2.772994938246224,8.258239042928189,137,363,0,0,29573,0,29,4121
3400,1172,29,1.778033745774004,3.2679372880074116,2.64079889927087,8.141500013693353,124,376,0,0,27851,0,22,3971
3500,1097,41,1.7768186137655062,3.243588101982592,2.5017276763546428,7.890329861580387,131,369,0,0,27988,0,26,3977
3600,1106,33,1.7695594288129355,3.27109172433504,2.7115154048241474,8.099165118565299,139,361,0,0,28330,0,32,4026
3700,1176,24,1.7317277374369104,3.2574746241724934,2.9317433287472943,8.316896438512494,135,365,0,0,29514,0,27,4256
3800,1126,39,1.7242760521941634,3.2600890121733954,2.5028497420415423,7.939478517446836,132,368,0,0,27375,0,15,3816
3900,1135,35,1.7079699082753417,3.273714712271076,2.5091730673774997,7.8504811491090765,135,365,0,0,28818,0,22,4102
4000,1168,31,1.7337714265383197,3.2621516159973436,2.5870234006400774,7.954425351552845,137,363,0,0,29351,0,24,4187
4100,1171,19,1.7395589189206515,3.3035534717706994,2.725179461760965,8.185297594416452,130,370,0,0,28702,0,28,4155
4200,1102,23,1.7200281454110717,3.228402327820401,1.9685629578606714,7.322233568813365,140,360,0,0,27843,0,17,3936
4300,1164,30,1.7402430544368896,3.2417730825987916,2.7153895144389577,8.099695641460821,134,366,0,0,28648,0,34,4071
4400,1162,27,1.7274144681259775,3.2359162265733077,2.620434421748676,7.97087088528359,131,369,0,0,29436,0,35,4228
4500,1165,27,1.7082301667768665,3.2365488463856313,2.5338365963071308,7.854056356126076,137,363,0,0,28506,0,9,4047
4600,1129,28,1.7160017430413452,3.2779164871745796,2.349874637915798,7.7139483382973175,140,360,0,0,28719,0,11,4070
4700,1130,25,1.7027721069283037,3.288215331123737,2.792270264856689,8.173002294590605,138,362,0,0,28247,0,25,4053
4800,1168,27,1.7250749730846169,3.272667114656467,3.0105887273437246,8.372417906883244,152,348,0,0,29237,0,18,4158
4900,1147,31,1.7173110627797192,3.2683116164622867,2.800611024729568,8.19455634619627,130,370,0,0,28576,0,21,4047
5000,1130,30,1.703172408930458,3.2124024579678934,2.5659846650697617,7.847232750202286,131,369,0,0,27957,0,20,3950
5100,1176,23,1.691178807055267,3.215660556027208,3.203033605556109,8.370470120925832,138,362,0,0,30534,0,48,4388
5200,1166,23,1.6776641036980993,3.250192924120504,2.809883981733785,8.013098766475506,144,356,0,0,29444,0,39,4220
5300,1170,19,1.679667410883326,3.21145442898384,2.990302974188591,8.252500670170146,132,368,0,0,28277,0,22,4030
5400,1140,23,1.6424290740706073,3.223002183014604,2.7908666147292145,7.9412585404254505,131,369,0,0,29017,0,35,4142
5500,1142,22,1.6797669121278338,3.208517643866186,2.7507825639564145,7.987428637439227,137,363,0,0,27976,0,16,4014
5600,1150,41,1.6835057133404487,3.206357661832933,2.5561138760986704,7.7649443680204255,131,369,0,0,28282,0,16,3967
5700,1084,25,1.6868395770844535,3.2240077979886457,2.551374535350659,7.799805607138666,126,374,0,0,27540,0,31,3867
5800,1125,31,1.6761766704452083,3.2106057193564363,2.738628033540501,7.9493564286866505,138,362,0,0,29224,0,32,4175
5900,1156,35,1.6923047595146523,3.2382262980380947,2.488227504041883,7.7992130539204565,140,360,0,0,28677,0,19,4035
6000,1172,31,1.695928106753226,3.2673715439969033,3.2364929461328233,8.475621027743996,130,370,0,0,30312,0,39,4288
6100,1154,23,1.6966990675597924,3.2502210331235144,3.1610135621898485,8.44744785295971,126,374,0,0,28475,0,37,4077
6200,1088,13,1.6989114479756942,3.1935171136873994,2.769271508647191,8.044287496931242,129,371,0,0,27442,0,23,3953
6300,1187,18,1.6662528750137375,3.20543978410767,2.9637794209011488,8.206949269203804,136,364,0,0,29818,0,19,4217
6400,1166,12,1.662659229419355,3.226366591975433,2.7049837941041472,7.925492068258515,137,363,0,0,28578,0,21,4110
6500,1099,17,1.6954221502423974,3.2291079227717785,2.5475363624655123,7.867751004662231,130,370,0,0,27352,0,14,3894
6600,1187,13,1.6813156392349813,3.2194027039021433,2.8725243743067224,8.14244656187956,127,373,0,0,29091,0,24,4152
6700,1167,19,1.6644624331523594,3.244925074210631,2.5448705575843853,7.776725920676962,131,369,0,0,29270,0,10,4164
6800,1192,25,1.6595113481489583,3.1728867069857545,2.601507591943962,7.74786036019771,137,363,0,0,29966,0,28,4271
6900,1149,25,1.6639005136609637,3.191582234081687,3.1658735766241466,8.377342148770092,134,366,0,0,29411,0,29,4147
7000,1153,18,1.6772992847139847,3.1476340675422296,2.9719811096619777,8.11572485902695,144,356,0,0,29408,0,30,4220
7100,1201,26,1.6800535189812065,3.133227728558722,3.0300688674878695,8.166704002982243,141,359,0,0,30948,0,39,4377
7200,1174,20,1.6627006747254383,3.203924156472175,2.6770841006608066,7.876124448690084,138,362,0,0,29661,0,29,4205
7300,1204,14,1.6660212615403842,3.2233397860635336,2.643484551701716,7.890387238380811,138,362,0,0,29533,0,23,4263
7400,1159,13,1.656780209253205,3.2178180009242485,2.433551539833012,7.656035891749693,129,371,0,0,28656,0,17,4097
7500,1216,23,1.6486192624469538,3.138441316015581,2.6780390886094705,7.786417879858584,143,357,0,0,30468,0,18,4348
7600,1170,24,1.6649718693649813,3.1929334469420128,2.556493311952748,7.81339570813485,137,363,0,0,28454,0,16,4000
7700,1114,11,1.661214038127988,3.23932379796504,2.585339609170623,7.818007690141432,134,366,0,0,27651,0,27,3969
7800,1118,18,1.6345668045821444,3.24232715277561,2.8024958562392777,7.954417272196874,138,362,0,0,28334,0,28,4043
7900,1195,23,1.6506247147450426,3.2369233871547736,3.1974460144557493,8.423796071701213,128,372,0,0,29674,0,27,4226
8000,1136,26,1.6458498764006955,3.2572039137110083,2.6761057116627645,7.942415151050984,129,371,0,0,28066,0,25,3985
