tick,executed task,wasted task,communication time,executed time,waiting time,all executed time,leader count,member count,reciprocity leader count,reciprocity member count,message count,overflowed task,rejected task,allocate area 0 member,allocate area 1 member,allocate area 2 member,allocate area 3 member
0,0,0,0.0,0.0,0.0,0.0,4,133,0,0,0,0,0,0,0,0,0
100,247,36,1.946564630675679,3.241052153482091,2.253239445129958,7.512872402546605,43,94,0,0,10204,0,13,358,200,552,333
200,327,20,1.890362810628799,3.4194138795071467,7.082158340326685,11.213579955905809,43,94,0,0,12380,0,71,371,177,717,413
300,344,19,1.8695939382475117,3.3086598805702665,6.876187512357525,11.23321586385315,42,95,0,0,12719,0,59,357,210,770,431
400,342,16,1.8560305888826598,3.3851233432030647,7.288897596598451,11.403612156891954,44,93,0,0,12876,0,89,355,226,801,429
500,323,17,1.862941532579079,3.309267193340828,8.40157000526619,11.968441830507631,47,90,0,0,13097,0,103,347,218,793,476
600,331,13,1.8801944083851365,3.4235501753664295,7.836982830614818,12.108620861627791,44,93,0,0,12434,0,56,328,194,739,427
700,350,11,1.8514687986297524,3.3109244696670492,7.534291509506783,11.594395804108775,43,94,0,0,12759,0,65,310,243,782,470
800,310,17,1.865005024334814,3.435513250197477,8.818448175493385,11.731646530585003,41,96,0,0,12176,0,67,311,185,726,405
900,308,14,1.8656307600948299,3.2975373784637325,8.412271707790717,12.126682508010383,39,98,0,0,12325,0,77,278,231,701,387
1000,278,27,1.8565474893430536,3.391453893136328,10.768026351018413,13.002687160433966,45,92,0,0,13010,0,100,312,226,726,444
1100,323,19,1.8354793753716592,3.4299403521464704,8.967593324861749,12.74867942464574,41,96,0,0,12650,0,74,302,203,752,434
1200,311,27,1.8296852527585328,3.403296530395987,11.155377511334553,12.924621807415157,45,92,0,0,13195,0,105,325,167,781,418
1300,273,18,1.8438497630555628,3.4588440716919835,11.273997378911083,13.348930595118679,45,92,0,0,12885,0,97,365,176,772,413
1400,306,12,1.8400964394674577,3.4466688402868577,9.138904975156759,13.361022702525936,44,93,0,0,12826,0,95,403,193,756,391
1500,332,22,1.8487572419938751,3.3139574920364634,10.744470549811085,13.364778047135337,44,93,0,0,13689,0,116,398,202,809,456
1600,310,14,1.8218177344614823,3.3365151799786332,10.132234295579835,13.226840281151745,49,88,0,0,13075,0,102,388,209,802,382
1700,337,19,1.8420225641133816,3.373975983507701,8.768551880750007,12.921310048014487,46,91,0,0,13561,0,102,399,240,809,446
1800,323,19,1.8258394150255177,3.417939028104827,9.239973970361165,12.630353134709475,46,91,0,0,12985,0,97,351,213,796,420
1900,302,19,1.825174457529077,3.4451460435344705,9.750811454362035,12.576609114513609,44,93,0,0,12379,0,87,305,171,755,354
2000,283,31,1.7958000830328078,3.4042465181876946,9.272202641312937,12.160965857671737,39,98,0,0,12679,0,85,285,156,782,371
2100,312,37,1.7864164280568076,3.3675055473851914,9.40310067229326,12.805154757878036,44,93,0,0,13313,0,135,319,147,827,402
2200,274,32,1.8242723399437022,3.294221859366983,9.689189248831665,12.121532178820488,41,96,0,0,12527,0,114,272,159,781,349
2300,310,20,1.804490870412722,3.5035004266888934,9.221023347567467,12.384971545525337,40,97,0,0,11951,0,96,271,143,743,351
