tick,executed task,wasted task,communication time,executed time,waiting time,all executed time,leader count,member count,reciprocity leader count,reciprocity member count,message count,overflowed task,average subtask queue size,rejected task
0,0,0,0.0,0.0,0.0,0.0,17,483,0,0,0,0,0.0,0
100,770,142,1.969625294941511,3.103483822692411,2.6430845893171813,7.333727694736227,165,335,0,0,35731,0,0.41213617523432583,45
200,1199,93,1.9048325243822832,3.4082953696149225,7.22203568785801,11.867200940452236,168,332,0,0,48279,0,1.1258308530657637,298
300,1259,66,1.896412306104812,3.3619578015829354,7.873444408473432,12.324402623033585,166,334,0,0,47956,0,1.2203355064434285,271
400,1252,50,1.89350394189014,3.3394231544757957,7.281179916175904,11.849864092131895,160,340,0,0,46648,0,1.1012045604280791,275
500,1229,59,1.8791850322758763,3.3441716442911007,7.624958254978819,12.114633091952074,171,329,0,0,48829,0,1.2068970478087686,313
600,1230,70,1.8819189866692503,3.375333358110757,8.367653521152418,12.672788232372781,170,330,0,0,49667,0,1.3280824359432546,327
700,1262,53,1.8580022257514355,3.352146371454519,7.881400407257807,12.375557786593072,174,326,0,0,48626,0,1.2438413997963398,316
800,1262,63,1.8614811278863814,3.3737715310290377,8.529333710227476,12.750981384988904,169,331,0,0,49837,0,1.3843109694133267,325
900,1278,61,1.8510199062183483,3.315524702654755,8.346968924076421,12.728128179937837,168,332,0,0,50328,0,1.3619125613886331,362
1000,1250,74,1.845892245523335,3.329037813622053,9.059802827453735,13.021466440279468,176,324,0,0,51596,0,1.4643886781431874,367
1100,1289,63,1.8457380511675594,3.338356253761233,8.85966582826685,12.981570265014899,171,329,0,0,49776,0,1.4246321748697566,344
1200,1273,59,1.8485418443628043,3.346625601659936,8.886648713706089,12.936189004589679,173,327,0,0,50662,0,1.4467045564917547,351
1300,1200,57,1.8545284913970514,3.364256828966095,9.119309969624878,13.08755052067602,175,325,0,0,50314,0,1.4562941604806505,388
1400,1252,51,1.8459484706460012,3.312486128192467,8.569820194956815,12.872486552540227,172,328,0,0,49767,0,1.4084727161630972,329
1500,1284,66,1.8516795207841918,3.290900310426305,9.054045300319325,13.07959781295089,178,322,0,0,52592,0,1.5166330084516515,405
1600,1278,56,1.8284925937586491,3.3027344388900763,9.301495207652728,13.220620028530613,176,324,0,0,50403,0,1.4751673818324524,351
1700,1245,73,1.8469679816462727,3.3416238075240496,8.797755843377855,12.960459689611422,174,326,0,0,50372,0,1.4267579939728878,342
1800,1270,61,1.8348532951558736,3.324273108097313,8.295309622640092,12.716081652493807,178,322,0,0,49278,0,1.3265384854891962,329
1900,1220,89,1.8285297381613228,3.3204446842002575,7.754140542038702,12.13831316976778,166,334,0,0,48183,0,1.1888677704765744,300
2000,1184,127,1.8130441890717404,3.299729322058234,7.895731072017416,12.180519424137783,168,332,0,0,48503,0,1.2200053447062005,302
2100,1191,133,1.820998166052152,3.275354783320827,8.159102299887579,12.320284892161736,186,314,0,0,50136,0,1.2179174745126973,400
2200,1138,102,1.820201914757808,3.2788115287741464,8.645104195696426,12.526546596642222,170,330,0,0,48888,0,1.2712940856010098,375
2300,1211,90,1.8139170777935991,3.3340929928335425,7.898630134383613,12.273922070942552,168,332,0,0,47988,0,1.2069500304447438,306
2400,1207,86,1.8058659304752995,3.295868142880266,7.9956308234707,12.148417905470355,164,336,0,0,48616,0,1.2101518989341067,350
2500,1195,116,1.8094374304795102,3.2896885572342223,7.957664913624404,12.197377450717234,170,330,0,0,48465,0,1.2060468787854304,321
2600,1170,110,1.8143510784400956,3.305247686474977,8.385750946795072,12.426122309608372,172,328,0,0,49730,0,1.2779841730479804,373
2700,1165,93,1.8263916348124711,3.3428040217962245,8.079374605871443,12.278943049018189,162,338,0,0,46131,0,1.1427981077980993,297
2800,1180,126,1.8291110137788311,3.2688454278349752,7.397377394599723,11.778194490494041,175,325,0,0,48722,0,1.118200257458271,338
2900,1208,86,1.8086835637348437,3.3051602358718153,8.820712487728017,12.704155799779244,165,335,0,0,50800,0,1.3716421700742876,398
3000,1256,71,1.811427946308986,3.2936823847190495,8.01411886189529,12.3476138534075,168,332,0,0,49012,0,1.2810584502393088,301
3100,1233,69,1.8102784244504222,3.3072226583513187,7.957369896129187,12.316802931376557,170,330,0,0,48043,0,1.2310203488282945,277
3200,1226,79,1.8058212323045952,3.263345740634928,8.181399338320778,12.242286335306419,172,328,0,0,50267,0,1.3006782562468988,358
3300,1245,72,1.8000521468514696,3.315462083184703,8.017921404099551,12.285281404512917,169,331,0,0,48176,0,1.2153343039959705,296
3400,1235,79,1.8075258410652537,3.2992301441594316,7.3060838692298296,11.72711076819338,170,330,0,0,47627,0,1.1223023826460068,287
3500,1223,81,1.8032079041275761,3.241262917132336,7.678352552766763,11.906299979197932,167,333,0,0,49596,0,1.21124766737613,342
3600,1228,89,1.7961996461173728,3.2937253054477202,7.60526947708948,11.8960396966066,171,329,0,0,48217,0,1.1493663263737037,301
3700,1191,92,1.7982511838497723,3.323508886501878,7.716551878377118,12.05177973824169,164,336,0,0,48240,0,1.184268348381232,312
3800,1179,84,1.7950881289844725,3.3004756798611106,8.233605013395502,12.188504080004417,176,324,0,0,50269,0,1.2648237861417235,401
3900,1206,86,1.7847682873704231,3.2787298326762015,8.603469877497554,12.504593175665661,168,332,0,0,49937,0,1.296895649167297,384
4000,1216,87,1.7851741520952593,3.295611059232493,8.37150272008591,12.301159691073476,180,320,0,0,50976,0,1.3378807082272248,380
4100,1248,98,1.7759439682780453,3.2581627097299224,8.443998285194253,12.483144906580831,175,325,0,0,50252,0,1.346856468110575,359
4200,1225,79,1.7643532811361593,3.3038588983765105,7.767084201966351,12.147843866864651,163,337,0,0,46833,0,1.1658307515500852,257
4300,1231,80,1.7712506518925126,3.3257683099802393,8.232890409620019,12.271402661061613,167,333,0,0,49535,0,1.2577604406232414,320
4400,1200,95,1.788696243798541,3.3342124068204764,7.846629974460951,12.08744140371153,170,330,0,0,48324,0,1.2030306866333225,307
4500,1240,85,1.7885646930653016,3.3387026492743996,7.973036823725117,12.258568983596573,175,325,0,0,49281,0,1.2657881007361858,302
4600,1232,101,1.7921424169856253,3.311948899418361,8.78775202527297,12.77470313667186,162,338,0,0,50686,0,1.3519841330122506,383
4700,1228,86,1.7845261568891606,3.288216690743898,7.316510390790011,11.749266001635695,172,328,0,0,48109,0,1.1472823191155277,276
4800,1222,82,1.7759428098917698,3.3485353957421773,7.889425507543389,12.214755557664446,161,339,0,0,48637,0,1.2152282334976423,311
4900,1266,65,1.7836494076983647,3.253629675677499,7.29001514894382,11.659871893152985,168,332,0,0,47446,0,1.1481864316733943,249
5000,1258,51,1.7791246910411467,3.297827935065632,7.4132784628383055,11.879040314525184,154,346,0,0,46116,0,1.1450592944981728,235
5100,1250,70,1.7776631641695828,3.3301944500199743,7.621698579051534,11.941489504236234,171,329,0,0,50089,0,1.2287992716209608,336
5200,1221,62,1.7880748939447069,3.3208966022661897,7.683765431465829,12.099816058915842,173,327,0,0,48547,0,1.2044197946271626,317
5300,1262,76,1.781015470110499,3.2935858885638494,8.18518479778577,12.300153533423089,166,334,0,0,49103,0,1.2918974874787132,301
5400,1238,49,1.7657705853683268,3.309080098371233,7.440393862622371,11.988785921160995,166,334,0,0,47425,0,1.166347278238793,269
