tick,executed task,wasted task,communication time,executed time,waiting time,all executed time,leader count,member count,reciprocity leader count,reciprocity member count,message count,overflowed task,rejected task,allocate area 0 member
0,0,0,0.0,0.0,0.0,0.0,11,489,0,0,0,0,0,0
100,958,0,1.9428817894235877,2.952123707092727,1.965160619846863,6.842707049291136,188,312,0,0,30331,0,59,4314
200,1636,0,1.8644374921690179,3.1482764968651082,6.139923045340706,11.164870769334218,177,323,0,0,43383,0,215,6292
300,1489,0,1.8610646509020885,3.1518862582627243,4.632204680198907,10.057896824750658,168,332,0,0,36800,0,98,5363
400,1446,0,1.86225520482126,3.139593712771412,4.369119405104699,9.75194413760094,172,328,0,0,37156,0,99,5409
500,1481,0,1.8640812014041415,3.0946407195186896,4.939442224369389,10.2308262602488,166,334,0,0,37560,0,123,5508
600,1489,0,1.8408002247106847,3.127269867342142,4.046818062447965,9.405677966268119,169,331,0,0,36624,0,68,5373
700,1491,0,1.8542034851760583,3.1030442388130917,4.74230323927191,10.071038802336108,167,333,0,0,37658,0,142,5440
800,1498,0,1.822756113485068,3.029795539381315,4.76869686376728,9.98075714837212,175,325,0,0,39061,0,116,5658
900,1510,0,1.8179762841614846,3.0214394074991144,4.126195867571011,9.384056264789644,173,327,0,0,36532,0,66,5341
1000,1510,0,1.8025498086738543,3.053003204467845,4.885672480112879,9.941695801054378,168,332,0,0,38958,0,137,5718
1100,1476,0,1.7969143041697806,3.080259244838439,4.5782182064273025,9.818146859869659,177,323,0,0,37896,0,100,5480
1200,1565,0,1.794392867938073,3.0299258871549797,4.929194871216947,10.058267360853138,177,323,0,0,38944,0,127,5639
1300,1501,0,1.7962255958333697,3.065141395420765,4.50638882014766,9.635688402275175,170,330,0,0,39106,0,109,5711
1400,1487,0,1.801719439127011,3.0115490885696414,4.659389514627594,9.787640980648922,168,332,0,0,37228,0,81,5428
1500,1470,0,1.790843774948725,3.0089313072021873,4.592741438297326,9.700958387247567,181,319,0,0,38472,0,118,5564
1600,1537,0,1.7877123251725306,3.0194604815794106,5.203476358156179,10.292009274731015,180,320,0,0,39134,0,128,5698
1700,1518,0,1.7769529166849438,2.967021626658802,4.390773041696269,9.482463109016981,172,328,0,0,37201,0,77,5416
1800,1454,0,1.7632634903802522,2.9405010748075666,4.648467212487996,9.591526669234858,175,325,0,0,37461,0,107,5463
1900,1534,0,1.7628307820451767,2.9190036875580034,4.851482911943097,9.770711322094389,172,328,0,0,38623,0,110,5659
2000,1500,0,1.7601692495762262,2.997906825725179,4.761252105306403,9.70026399837951,169,331,0,0,38289,0,100,5521
2100,1527,0,1.7692788189382442,2.943250350080659,4.4750544371127505,9.537747784043136,174,326,0,0,38406,0,97,5601
2200,1485,0,1.762569020168563,2.9570626673130223,4.775601617180005,9.75365244649692,181,319,0,0,39391,0,126,5737
2300,1522,0,1.7616664166630251,2.942338533608178,4.650146528938275,9.653192673795747,175,325,0,0,37066,0,112,5349
2400,1491,0,1.769366442543942,2.9681197549484,4.608870819749739,9.621390899836792,169,331,0,0,38307,0,125,5576
2500,1522,0,1.7576017644406057,2.9579562321572648,4.646521510591156,9.675850623541283,168,332,0,0,37920,0,96,5514
2600,1422,0,1.7418204877990433,2.9865575316564468,4.276451211505514,9.356233209987495,163,337,0,0,36421,0,95,5258
2700,1500,0,1.7313173099808636,2.9563224700519832,4.240880210063891,9.191345484032695,170,330,0,0,37955,0,96,5471
2800,1496,0,1.7193927896326588,2.960221876061494,4.239888156988857,9.168145729827005,171,329,0,0,37544,0,68,5468
2900,1532,0,1.7133305832817234,2.972481731427887,4.376762217883887,9.380910850557195,176,324,0,0,38294,0,88,5545
3000,1517,0,1.7038760764372676,2.9331436562757354,4.527895273212915,9.255465480673418,177,323,0,0,39674,0,125,5759
3100,1543,0,1.6994684415389136,2.945520162559535,4.829224746145552,9.65170526718611,171,329,0,0,39377,0,121,5709
3200,1533,0,1.700312004123595,2.9550636871627836,4.773969071707006,9.58984163016288,179,321,0,0,39753,0,103,5784
3300,1496,0,1.705428154523523,2.9967927324794807,4.467471742942776,9.41042368239158,163,337,0,0,37638,0,82,5396
3400,1504,0,1.7102260017255728,2.9941504321919963,4.303352950647828,9.26141004020516,175,325,0,0,37979,0,83,5513
3500,1523,0,1.713902789454777,2.972749828940183,3.972631568855432,8.975310068596764,163,337,0,0,36890,0,84,5368
3600,1468,0,1.6979616044078463,2.900872902063834,4.457025376016132,9.163890737530194,174,326,0,0,39144,0,115,5642
3700,1477,0,1.7064856038202398,2.9372359513436392,4.3447935695686555,9.184279490536797,176,324,0,0,36912,0,72,5348
3800,1523,0,1.696985094051178,2.917526558586793,5.091581198286836,9.761283438209533,175,325,0,0,39931,0,137,5780
3900,1543,0,1.682596406873636,2.9385286511333573,4.564340217309307,9.391712568761527,161,339,0,0,38288,0,101,5555
4000,1500,0,1.6771698722333261,2.936389105554127,4.160604023245108,8.948337972032014,168,332,0,0,38661,0,85,5602
4100,1547,0,1.665288686443037,2.9009935093803194,4.002755821132267,8.841634407494828,178,322,0,0,38312,0,76,5527
4200,1475,0,1.6910064196447547,2.943134950435168,4.225840878085666,9.03085009522001,182,318,0,0,37723,0,79,5403
4300,1544,0,1.6905445777837105,2.9845056844307574,4.5346143601165325,9.452895800782839,167,333,0,0,38449,0,81,5590
4400,1474,0,1.6932344791113882,2.960819121616175,3.6547891382595794,8.638973593892837,164,336,0,0,36127,0,51,5236
4500,1544,0,1.6846128512001985,2.89252394961738,4.1671057253487644,8.956595429059513,170,330,0,0,39223,0,98,5669
4600,1472,0,1.678614156233525,2.8768699382028897,3.7956822220574535,8.56539922823324,175,325,0,0,38242,0,83,5508
4700,1508,0,1.6808448736638764,2.9014430335105197,4.399737294123734,9.178784731300713,168,332,0,0,38391,0,112,5580
4800,1522,0,1.6827150833310265,2.9272177745225694,4.434623021557054,9.241809803667694,175,325,0,0,39179,0,95,5634
4900,1538,0,1.6736627861561733,2.916102094042636,4.072164662047649,8.880950848674233,168,332,0,0,38978,0,74,5606
5000,1529,0,1.6746867546640902,2.8884498178409665,4.526864782353986,9.307552311907234,165,335,0,0,39491,0,106,5695
5100,1550,0,1.6674255188827882,2.920017222885393,4.54830656270811,9.29216473914895,177,323,0,0,40350,0,116,5837
5200,1579,0,1.6668780869261923,2.8825886091182813,4.558884946312406,9.298127593384095,175,325,0,0,40355,0,104,5807
5300,1540,0,1.6456023904405688,2.890202157237079,4.517943810283284,9.249670999857548,174,326,0,0,39246,0,105,5670
5400,1504,0,1.658691710969801,2.905183916997256,3.94596101427858,8.820645708697764,166,334,0,0,37666,0,69,5405
5500,1524,0,1.6579078320725273,2.8582323321571192,4.832767259023818,9.420170372473269,186,314,0,0,41841,0,136,6104
5600,1571,0,1.6497135358752986,2.895257114584196,4.29141821344289,9.148952199195307,168,332,0,0,37963,0,77,5470
5700,1517,0,1.6464378523033159,2.9005717322531797,3.6917500733107773,8.5140840518869,166,334,0,0,38098,0,59,5436
5800,1510,0,1.6498697431377138,2.9253167612809263,4.28012444496335,9.038111276036238,169,331,0,0,38896,0,99,5623
5900,1534,0,1.6415329476693288,2.9042532667357035,4.184284309059219,8.968441803577413,170,330,0,0,39001,0,76,5622
6000,1495,0,1.6230684746060005,2.877567035318438,3.5317344330200653,8.285472219417002,162,338,0,0,36896,0,41,5350
