Agent ID,Area ID,x,y,Resource: 1,Resource: 2,Resource: 3,Resouce Average,Leader Evaluation,Member Evaluation,Allocated Subtasks,Refused Subtasks,Member Count,Leader Count
241,0,18,49,3,2,1,2.0,0.25491052741044007,0.18130694240578266,7889,84,86235,63766
328,0,37,4,2,1,3,2.0,0.46603295890910434,0.1477798963632122,601,4,51690,98311
423,0,14,2,1,2,5,2.6666666666666665,0.4643482349931752,0.15861479960471755,431,5,44917,105084
124,0,11,46,5,2,1,2.6666666666666665,0.5734535709276423,0.2032129495642837,1837,19,51481,98520
301,0,3,37,1,4,2,2.3333333333333335,0.2936016979372936,0.1602462675792797,4017,46,70160,79841
320,0,34,2,1,4,3,2.6666666666666665,0.40900931418026226,0.2538870731677821,3493,40,59692,90309
67,0,20,20,1,4,2,2.3333333333333335,0.4089172729829085,0.18439591091956054,9229,122,87655,62346
123,0,24,20,2,3,1,2.0,0.4844822376354353,0.09416059210123123,3842,41,66990,83011
36,0,39,20,3,2,3,2.6666666666666665,0.35146838775923944,0.19580657562366474,21685,418,118573,31428
292,0,48,40,1,2,5,2.6666666666666665,0.4238343671401448,0.156229100249692,1413,7,54597,95404
111,0,27,31,1,5,2,2.6666666666666665,0.5001789845129716,0.3125711508812358,1820,17,52936,97065
484,0,6,47,1,3,1,1.6666666666666667,0.43080153917029257,0.23905601721430558,4370,23,81394,68607
364,0,8,33,2,5,5,4.0,0.413604267312742,0.11487295887990578,17002,393,89713,60288
463,0,10,44,2,4,2,2.6666666666666665,0.3088268165326153,0.19799589200577164,15034,197,102153,47848
385,0,10,27,1,3,4,2.6666666666666665,0.5129099558367557,0.19997340578934203,5544,86,64227,85774
447,0,2,34,1,3,2,2.0,0.3905364126831842,0.16688449266531794,1727,15,57672,92329
322,0,12,26,2,5,4,3.6666666666666665,0.29827926050414716,0.17610639999861963,33068,812,140777,9224
264,0,22,31,4,1,3,2.6666666666666665,0.28938591258134344,0.1752897894166032,13428,260,107169,42832
254,0,7,19,2,2,5,3.0,0.48750912471897356,0.23571108863402152,6290,99,66436,83565
163,0,6,17,2,5,1,2.6666666666666665,0.5104944212799473,0.2641914205236244,5260,91,68016,81985
82,0,16,7,4,5,5,4.666666666666667,0.25334031637263066,0.2257413284290151,24818,641,100217,49784
462,0,43,33,4,1,3,2.6666666666666665,0.31092816932810874,0.18401636637590618,7442,81,82569,67432
239,0,17,7,2,3,3,2.6666666666666665,0.4268048578897245,0.21176742800026824,7153,116,69642,80359
273,0,8,9,1,4,2,2.3333333333333335,0.3045992984865928,0.18160582854218846,3000,52,64654,85347
252,0,14,30,1,5,5,3.6666666666666665,0.48861506031231855,0.2078508634651542,9587,201,81331,68670
289,0,11,6,1,2,1,1.3333333333333333,0.25176198667265,0.1679002228129197,2335,3,70281,79720
63,0,34,27,5,1,1,2.3333333333333335,0.5058090529016783,0.14568890876760363,3218,40,63091,86910
466,0,47,8,1,4,2,2.3333333333333335,0.22386781701845368,0.19560537560940244,2453,15,59358,90643
151,0,1,31,4,3,5,4.0,0.36545518635580193,0.12413098510605325,37115,866,140164,9837
467,0,6,15,1,3,4,2.6666666666666665,0.359904475740068,0.1837019717771952,11401,178,94089,55912
403,0,47,22,2,2,5,3.0,0.3783620650562149,0.18653957327082749,16318,287,100077,49924
17,0,46,23,1,4,1,2.0,0.4315201689239372,0.10805306800371522,6374,52,84825,65176
217,0,16,27,2,4,4,3.3333333333333335,0.5042334782048746,0.21289704124389325,33300,789,146599,3402
108,0,5,30,1,5,2,2.6666666666666665,0.35583254307908907,0.19364287091355611,2300,39,52087,97914
127,0,2,49,2,2,2,2.0,0.33432154577730994,0.17096778678445254,416,0,47284,102717
80,0,2,27,4,1,5,3.3333333333333335,0.3321124367456367,0.22007577533915373,2877,49,55551,94450
102,0,41,41,2,1,5,2.6666666666666665,0.35189923212781876,0.13079629283619917,14421,219,114770,35231
323,0,38,2,4,3,1,2.6666666666666665,0.38933198469763686,0.14350297116871435,6465,66,79195,70806
73,0,33,16,1,4,2,2.3333333333333335,0.4129487602626444,0.13383373156648604,4385,55,67180,82821
65,0,26,5,4,3,4,3.6666666666666665,0.39235893815031514,0.27692253463226985,33507,743,136457,13544
465,0,24,11,3,1,3,2.3333333333333335,0.5221266711296871,0.21914762733763926,8207,93,87455,62546
369,0,34,19,1,2,3,2.0,0.3976116760127604,0.2770739168141322,6567,91,79961,70040
300,0,8,12,2,1,1,1.3333333333333333,0.44043943209156017,0.21224002351617388,2197,1,74462,75539
269,0,11,17,2,3,2,2.3333333333333335,0.38844670287092276,0.216995055327591,16521,284,106273,43728
357,0,40,30,1,5,4,3.3333333333333335,0.2503719200669749,0.16395420857331003,2715,50,51274,98727
499,0,44,43,3,1,4,2.6666666666666665,0.2929919981009929,0.19506850214637383,15598,251,118191,31810
340,0,19,27,2,2,1,1.6666666666666667,0.5625927823813791,0.20190333402365843,4508,28,74936,75065
188,0,0,12,2,5,1,2.6666666666666665,0.4718169641576728,0.2173114074930959,2954,23,65726,84275
46,0,46,16,3,5,1,3.0,0.4225084200109105,0.1420652157735194,10881,156,94714,55287
92,0,40,16,2,2,2,2.0,0.441317730598067,0.13990056056517516,17563,240,116264,33737
414,0,17,2,5,2,2,3.0,0.285087741517674,0.17984559199405056,12225,199,87162,62839
360,0,46,1,2,1,4,2.3333333333333335,0.4425973128376562,0.17578337343976388,6183,45,78530,71471
