tick,executed task,wasted task,communication time,executed time,waiting time,all executed time,leader count,member count,reciprocity leader count,reciprocity member count,message count,overflowed task,rejected task,allocate area 0 member
0,0,0,0.0,0.0,0.0,0.0,8,492,0,0,0,0,0,0
100,821,125,1.9364758587935698,3.132413048669389,1.6032459808880537,6.770543719658795,131,369,4,0,25133,0,7,3271
200,1087,95,1.9166843224592887,3.353711296898041,2.5382862701914948,8.342013495967327,117,383,40,0,27496,0,21,3917
300,1141,85,1.917147071921439,3.349319882329041,2.9164440580874778,8.757231624942552,131,369,56,2,27732,0,13,4078
400,1117,70,1.9214041621899585,3.3340728720850294,3.1331999176438807,8.966459902723386,134,366,80,2,25983,0,30,4004
500,1143,55,1.8881910145315333,3.313661633695996,3.055969659887351,8.788629416409108,129,371,87,2,25196,0,36,4107
600,1138,47,1.8437077706333687,3.238423265100768,2.415387804790314,8.095544015224835,119,381,96,8,22995,0,13,3856
700,1114,56,1.8431483812500955,3.330690254978161,2.4884585388652045,8.258360055044262,113,387,96,9,21819,0,19,3839
800,1108,66,1.786500335137462,3.247269564786519,2.3782348380053704,7.9672808298705,127,373,108,13,21916,0,17,3919
900,1142,38,1.805261231685158,3.2995069220764726,2.6397356727572743,8.27010213577973,116,384,103,9,21652,0,16,4052
1000,1152,53,1.8108237822392943,3.2822907206984673,2.525217036134553,8.168558814668605,124,376,114,26,21873,0,31,4094
1100,1165,63,1.7783328602291038,3.317451058423998,2.5773652588691585,8.228117229346445,115,385,101,22,21263,0,16,4058
1200,1170,56,1.7878059423839179,3.2631183250828832,2.9123915762395054,8.514152965084348,111,389,103,24,21376,0,23,4149
1300,1083,32,1.7715002455375777,3.3228869554385807,2.21030588055651,7.868421826286527,118,382,107,18,19885,0,15,3916
1400,1177,34,1.7604183228874815,3.281875556657549,2.1696880011827733,7.845462911212199,124,376,118,30,20983,0,20,4166
1500,1166,41,1.7655385716141665,3.2556618298843505,2.253821630643202,7.869726450878869,111,389,107,24,20135,0,14,4053
1600,1164,45,1.7189288475558393,3.2746479298989466,2.153955560078553,7.687066927005413,121,379,114,27,20235,0,12,4163
1700,1152,32,1.7478707592162075,3.2510072107977557,2.242712391443577,7.809002114844345,126,374,120,36,20319,0,13,4176
1800,1214,43,1.7251732918300828,3.2555718084799117,2.4020284078553003,7.956944708821826,112,388,107,27,20401,0,7,4280
