tick,executed task,wasted task,communication time,executed time,waiting time,all executed time,leader count,member count,reciprocity leader count,reciprocity member count,message count,overflowed task,rejected task,allocate area 0 member,allocate area 1 member,allocate area 2 member,allocate area 3 member
0,0,0,0.0,0.0,0.0,0.0,4,133,0,0,0,0,0,0,0,0,0
100,245,40,1.9427570242498757,3.2530591791791323,2.2981234220921083,7.465981292624535,41,96,1,0,10179,0,14,359,192,541,317
200,305,13,1.8716713663035733,3.3818677225337437,7.191536276631866,11.327951940044818,35,102,15,0,11213,0,59,353,145,682,373
300,291,41,1.8525735786902542,3.3197265736499473,7.081553987034635,11.2619252081338,48,89,27,4,11985,0,73,411,155,767,378
400,326,31,1.8552045225434781,3.298538287134261,8.08129817074051,11.928342542562365,40,97,28,3,10842,0,70,419,147,699,370
500,313,40,1.8404429767741857,3.2850184507185283,8.010306195996982,12.288788479880973,41,96,32,9,11308,0,93,451,131,729,379
600,307,33,1.8069655542206107,3.3221099216658825,9.374794168868624,11.815435688210998,41,96,37,12,10611,0,77,420,140,733,336
700,309,34,1.799780398820843,3.318813764666706,8.195111231776478,12.36287913441048,44,93,39,16,10372,0,71,402,139,698,369
800,316,49,1.780825116247098,3.317777113971638,8.366191548316852,12.313508072185744,39,98,34,12,10499,0,67,401,145,696,350
900,304,70,1.748375935560523,3.4008236491922244,8.887500021641584,12.942419503604413,39,98,35,12,10438,0,69,388,147,709,338
1000,325,61,1.7584583800414704,3.273924106423334,7.239878382238675,11.751506385857004,39,98,35,17,10267,0,54,409,154,708,354
1100,305,45,1.771432078847087,3.295073596810826,7.595243826864569,11.804493487721425,39,98,34,18,9860,0,63,393,135,729,364
1200,326,36,1.8189169792241986,3.348123908182647,7.3885256822566,11.828921967280564,39,98,36,14,9836,0,57,403,158,733,395
1300,322,50,1.7909648861111231,3.251691153273971,7.4679768078498725,11.420023798183237,40,97,36,20,9838,0,68,398,150,693,360
1400,316,44,1.7802310896989872,3.223775618647069,7.051269469572992,11.835475890692589,41,96,39,19,9915,0,45,436,136,727,377
1500,345,47,1.7687600199156044,3.213202771339128,6.747104180454837,11.547415434147446,36,101,35,12,9807,0,55,404,150,730,376
1600,314,38,1.7316502895582868,3.2397275960866283,6.3458630424611195,10.82042904891843,39,98,37,17,9415,0,44,418,146,731,359
1700,338,36,1.7289566123492726,3.2996649972161816,6.494115031315211,11.582295552527814,35,102,34,10,9269,0,32,408,135,744,368
1800,329,37,1.734171278905056,3.332962428272212,5.653549841687009,11.194483811254257,41,96,38,17,9251,0,33,383,157,709,376
1900,313,39,1.7392524861514207,3.274922666944339,6.647747144840022,10.876312747681165,32,105,31,15,8659,0,34,343,131,657,349
2000,285,47,1.7315621340635337,3.1879970586259287,7.191689768264074,11.156559470629128,39,98,36,21,9300,0,50,349,125,720,342
2100,312,42,1.71227982901527,3.288095890220891,8.07666099831541,11.302746045621046,35,102,33,14,9285,0,52,327,117,771,341
2200,336,34,1.7302535611044703,3.2761055297471713,6.975497031305469,11.101804216251583,40,97,36,13,9538,0,49,371,142,749,415
2300,326,45,1.7524876728799854,3.2347980098714055,6.191549777446198,11.046084428351891,38,99,36,20,9346,0,39,339,161,718,393
2400,293,26,1.741852078663817,3.3407946841544067,6.283616822385447,10.920453724004792,35,102,32,17,8444,0,24,317,146,668,323
2500,317,40,1.7339561340427243,3.1695056529802277,6.253190680520552,11.563747240898671,37,100,36,16,9301,0,36,340,182,706,410
2600,303,39,1.7420120035070012,3.23133522110844,6.699557782559719,11.07280035697876,34,103,34,18,8872,0,34,315,145,690,370
2700,309,34,1.709484648613495,3.3386495565837686,5.901653817372858,10.638891168128394,40,97,39,19,8754,0,37,333,136,723,369
2800,315,26,1.708731019332979,3.203016392963761,7.867720705650276,11.321062173550564,36,101,35,15,9200,0,46,323,164,783,367
2900,324,44,1.6849254638012239,3.342353153598221,6.354402252421455,11.288055125928917,40,97,38,18,8949,0,34,333,156,723,359
3000,367,46,1.6701098272805166,3.3082344702436406,6.42117446064365,12.104885456573902,36,101,34,11,9345,0,14,335,132,773,387
3100,297,34,1.7039206203409103,3.273982464903519,6.05092564526117,10.173615148740147,37,100,33,14,8676,0,32,324,131,692,394
3200,300,23,1.6866202747722456,3.230571289520593,6.905098688806895,11.3424537352912,34,103,34,13,8630,0,58,318,126,746,368
3300,308,19,1.6916172570581978,3.3251420683977186,6.41555472784869,11.162745087188357,32,105,32,13,8651,0,58,334,129,754,354
3400,336,39,1.6552362205752522,3.291549226414095,7.303373281627437,10.848790047957007,39,98,39,19,9410,0,49,380,161,832,374
3500,327,38,1.6531545836069466,3.3179845599110807,7.300786369036956,11.421072907463008,38,99,38,23,9032,0,49,339,151,830,350
3600,328,38,1.649979209940403,3.2477189991437188,6.3210339493761065,11.092177302668837,37,100,37,21,9323,0,56,382,144,813,371
3700,320,42,1.648026572064477,3.256083328178529,7.390773889208484,11.21152718935691,39,98,37,24,9360,0,61,352,152,879,351
3800,323,35,1.685971954808412,3.1925841282732024,7.461387587500741,11.029808324592954,29,108,27,17,8685,0,34,342,125,730,311
3900,287,41,1.6743730089684958,3.2614395176546878,5.829366021362538,10.193552824583398,36,101,33,18,8367,0,25,267,107,727,305
4000,306,33,1.6642045820344473,3.291004716763248,7.891601249285782,11.604337349573672,37,100,36,22,9117,0,46,371,124,810,408
4100,326,37,1.6731438401399512,3.18101502952709,6.995839127847669,11.348242365670776,40,97,40,25,9386,0,34,360,130,797,377
4200,343,30,1.6711549658018772,3.228308070668433,7.010392846185164,11.32621141542608,32,105,31,16,9088,0,35,354,100,800,385
4300,314,30,1.6554324706682457,3.2853246398517797,7.061698609931297,11.228784197845128,40,97,40,19,9322,0,46,338,140,822,383
4400,357,53,1.6554282731528562,3.2848163267760793,7.7366009002607345,11.6152641386298,36,101,36,21,9547,0,52,397,143,852,330
4500,306,43,1.6796191594541166,3.3132053742611007,6.300586733184254,10.117125884908,40,97,39,28,8675,0,26,326,117,717,310
4600,320,39,1.664054639047861,3.3074193983522786,6.117139697012729,10.52900650243215,37,100,35,22,9022,0,37,353,122,836,339
4700,337,46,1.65417020714734,3.2467511385673147,7.711405869715081,11.070631081036263,35,102,34,21,8986,0,67,343,150,766,337
