tick,executed task,wasted task,communication time,executed time,waiting time,all executed time,leader count,member count,reciprocity leader count,reciprocity member count,message count,overflowed task,average subtask queue size,rejected task
0,0,0,0.0,0.0,0.0,0.0,17,483,0,0,0,0,0.0,0
100,769,158,1.9690342341792573,3.0925979339530967,2.6037509815871944,7.304953853811066,163,337,8,0,35921,0,0.40444180645215305,48
200,1205,81,1.8908763473670225,3.4265124555891253,6.9411378933926,11.783312634436253,157,343,48,2,44883,0,1.0486982581665985,236
300,1211,103,1.8725554607198085,3.3676362144131957,8.067189584368782,12.185224902711388,167,333,89,19,46144,0,1.2063686059162162,317
400,1260,166,1.8735592928754423,3.3719927660274003,7.185490970974338,11.84758427228086,170,330,115,27,43698,0,1.147393363392928,213
500,1249,188,1.8481223132046791,3.3843970581572362,7.808072985191468,12.281702511998796,175,325,124,47,44341,0,1.2151695425166684,280
600,1288,157,1.8315301739840921,3.3475695269211196,7.703595152502617,12.054236140194561,161,339,132,52,41836,0,1.1908314518899557,277
700,1257,189,1.8208737095770993,3.3745625788258247,7.2406038675532844,11.835141952080692,168,332,146,65,40875,0,1.1163859130458216,213
800,1280,209,1.8072834271018154,3.3239560025297243,7.304527316397525,11.893086812832323,160,340,138,53,40491,0,1.1392974742451356,203
900,1252,191,1.7883018052976376,3.366534836254141,6.730966502121401,11.591773700931801,162,338,146,72,38541,0,1.0220161700071926,190
1000,1275,183,1.7927720241021703,3.2971835299392347,6.661288567631236,11.387117092852783,155,345,137,66,37368,0,0.9933341719687486,167
1100,1218,158,1.7931844764891571,3.339811432201698,6.719159575651721,11.324755945089422,152,348,138,62,35788,0,0.9549575910279517,188
1200,1257,142,1.8173626844062307,3.350424765381902,6.554751106799435,11.366775234070674,153,347,142,63,36861,0,0.9906942599127184,191
1300,1279,186,1.776684109722387,3.2488496040790285,6.906647604714088,11.481307003448078,153,347,143,79,38148,0,1.0699459634700772,249
1400,1281,181,1.7734848722906236,3.294634167221627,7.0090942526804705,11.48296843498267,160,340,150,83,37875,0,1.0969727548474695,206
1500,1292,211,1.76503757067438,3.286155807194967,6.859311614813614,11.54867340644681,154,346,145,81,36769,0,1.0165507892360952,163
1600,1298,138,1.7484889284449396,3.310754204789246,6.479608485750797,11.2372630486636,157,343,150,79,36019,0,1.004677861221072,172
1700,1287,164,1.733890376332048,3.2806632527422868,6.39526898497707,11.018332507551024,151,349,143,74,35646,0,0.9507739490148288,199
1800,1215,149,1.749551723052334,3.35430630188665,5.91520373549944,10.704694168394413,155,345,149,79,33847,0,0.8367636956623612,141
1900,1274,147,1.7559148552003798,3.345787245391344,6.192477707476156,11.039128311914675,142,358,136,65,34076,0,0.9168148048234435,152
2000,1235,143,1.7478425498688899,3.2954639946093374,6.445006003843546,11.107375078753169,149,351,142,68,35313,0,0.9650713424431536,201
2100,1285,160,1.733191933051546,3.3316125864073096,6.629020563042214,11.211325019198096,153,347,145,81,35868,0,0.9975922148039926,188
2200,1299,177,1.738859989011919,3.292295365971075,6.133299150769589,10.885770824728922,158,342,148,73,35144,0,0.9264735121163966,161
2300,1287,211,1.7580572027318602,3.2800531086177624,6.247344726910702,11.006229264443592,152,348,147,74,36215,0,0.9585996394185237,144
2400,1278,121,1.744172882725184,3.3393037223984914,6.032042004856356,10.944297595531618,151,349,143,73,34027,0,0.9205829056192911,140
2500,1325,138,1.7388248221058944,3.252202125899316,6.307844289879336,11.120173587026411,150,350,143,70,34730,0,0.9777769045129143,157
2600,1280,142,1.7455618525676004,3.2888547461211606,6.153505695733542,10.992376441530917,150,350,147,82,34572,0,0.9407956368627495,157
2700,1306,174,1.70544470889479,3.3536706874694704,6.23026658278232,11.06397670647467,155,345,153,88,34934,0,0.97350642979007,156
2800,1304,140,1.7131457495273321,3.294921567675585,6.207010195639635,11.032086062821806,144,356,140,65,34319,0,0.9615684075535814,156
2900,1321,139,1.6944491593458872,3.3175813216465766,5.927028343669814,10.871878420211496,150,350,148,81,34006,0,0.935569468728068,145
3000,1341,199,1.696864614019616,3.3144759423576398,6.028135492379375,10.783168824853357,145,355,141,78,34459,0,0.9149437272774448,116
3100,1294,110,1.7045883197294218,3.266999808708497,5.634164304221809,10.504920888049988,137,363,129,57,33534,0,0.8701300085549807,141
3200,1241,115,1.6959784489652654,3.25177459759537,6.165613264679959,10.792277390429563,149,351,144,75,33950,0,0.9085202332041296,212
