FROM,Cap,Role,TO,Distance
53,4.33,class Agent.Leader,163,1
53,4.33,class Agent.Leader,180,1
53,4.33,class Agent.Leader,405,2
446,3.00,class Agent.Leader,275,1
446,3.00,class Agent.Leader,338,1
446,3.00,class Agent.Leader,311,2
147,3.67,class Agent.Leader,459,1
147,3.67,class Agent.Leader,462,1
147,3.67,class Agent.Leader,221,2
147,3.67,class Agent.Leader,473,1
439,3.33,class Agent.Leader,154,1
439,3.33,class Agent.Leader,433,1
439,3.33,class Agent.Leader,296,1
439,3.33,class Agent.Leader,226,2
439,3.33,class Agent.Leader,50,1
96,3.00,class Agent.Leader,84,1
96,3.00,class Agent.Leader,321,2
96,3.00,class Agent.Leader,301,1
318,2.00,class Agent.Leader,294,1
318,2.00,class Agent.Leader,364,2
318,2.00,class Agent.Leader,275,2
318,2.00,class Agent.Leader,372,3
318,2.00,class Agent.Leader,432,1
144,4.00,class Agent.Leader,386,1
144,4.00,class Agent.Leader,325,1
144,4.00,class Agent.Leader,71,1
399,3.33,class Agent.Leader,143,1
399,3.33,class Agent.Leader,184,1
399,3.33,class Agent.Leader,473,1
153,3.33,class Agent.Leader,11,1
153,3.33,class Agent.Leader,392,1
153,3.33,class Agent.Leader,303,2
153,3.33,class Agent.Leader,101,1
153,3.33,class Agent.Leader,441,1
151,4.00,class Agent.Leader,390,1
151,4.00,class Agent.Leader,75,2
151,4.00,class Agent.Leader,319,1
151,4.00,class Agent.Leader,166,1
151,4.00,class Agent.Leader,322,1
383,3.33,class Agent.Leader,474,1
383,3.33,class Agent.Leader,116,2
383,3.33,class Agent.Leader,98,1
383,3.33,class Agent.Leader,464,1
383,3.33,class Agent.Leader,94,1
387,1.67,class Agent.Leader,242,1
387,1.67,class Agent.Leader,455,1
387,1.67,class Agent.Leader,493,2
387,1.67,class Agent.Leader,462,1
382,1.67,class Agent.Leader,287,2
382,1.67,class Agent.Leader,27,1
382,1.67,class Agent.Leader,372,2
382,1.67,class Agent.Leader,128,1
382,1.67,class Agent.Leader,105,2
152,3.33,class Agent.Leader,19,1
152,3.33,class Agent.Leader,135,2
152,3.33,class Agent.Leader,199,1
152,3.33,class Agent.Leader,245,2
223,4.00,class Agent.Leader,312,1
223,4.00,class Agent.Leader,177,1
223,4.00,class Agent.Leader,204,1
223,4.00,class Agent.Leader,174,1
223,4.00,class Agent.Leader,94,1
114,2.33,class Agent.Leader,43,1
114,2.33,class Agent.Leader,116,2
114,2.33,class Agent.Leader,12,2
114,2.33,class Agent.Leader,321,2
130,3.33,class Agent.Leader,307,1
315,1.67,class Agent.Leader,417,1
315,1.67,class Agent.Leader,105,1
315,1.67,class Agent.Leader,405,1
30,2.00,class Agent.Leader,75,1
30,2.00,class Agent.Leader,56,1
30,2.00,class Agent.Leader,480,1
30,2.00,class Agent.Leader,409,1
30,2.00,class Agent.Leader,438,1
127,2.00,class Agent.Leader,132,2
127,2.00,class Agent.Leader,480,2
127,2.00,class Agent.Leader,168,2
146,3.67,class Agent.Leader,78,1
146,3.67,class Agent.Leader,43,2
146,3.67,class Agent.Leader,420,1
146,3.67,class Agent.Leader,97,1
209,2.00,class Agent.Leader,319,1
209,2.00,class Agent.Leader,427,2
209,2.00,class Agent.Leader,456,1
225,3.67,class Agent.Leader,407,1
225,3.67,class Agent.Leader,348,2
225,3.67,class Agent.Leader,57,2
339,3.33,class Agent.Leader,90,1
339,3.33,class Agent.Leader,104,1
339,3.33,class Agent.Leader,449,1
339,3.33,class Agent.Leader,77,1
178,3.00,class Agent.Leader,286,1
178,3.00,class Agent.Leader,384,1
178,3.00,class Agent.Leader,380,1
178,3.00,class Agent.Leader,101,1
205,4.00,class Agent.Leader,397,1
205,4.00,class Agent.Leader,320,1
16,2.00,class Agent.Leader,206,2
16,2.00,class Agent.Leader,377,2
35,3.67,class Agent.Leader,394,2
35,3.67,class Agent.Leader,69,2
35,3.67,class Agent.Leader,234,2
35,3.67,class Agent.Leader,213,2
352,3.00,class Agent.Leader,65,2
352,3.00,class Agent.Leader,179,1
352,3.00,class Agent.Leader,122,1
352,3.00,class Agent.Leader,368,1
371,3.33,class Agent.Leader,334,2
371,3.33,class Agent.Leader,448,2
371,3.33,class Agent.Leader,70,1
