Agent ID,Area ID,x,y,Resource: 1,Resource: 2,Resource: 3,Resouce Average,Leader Evaluation,Member Evaluation,Allocated Subtasks,Refused Subtasks,Member Count,Leader Count
470,0,29,47,5,2,5,4.0,0.6755269345029801,0.30688081636708076,167,0,35192,114809
374,0,27,28,1,4,1,2.0,0.7323956479727181,0.17219635964366314,156,0,29856,120145
68,0,40,27,1,1,4,2.0,0.6806010394483992,0.42436728168404897,442,5,44564,105437
110,0,17,48,4,2,1,2.3333333333333335,0.5593200413278576,0.37482743965613424,150,0,30871,119130
340,0,19,27,2,2,1,1.6666666666666667,0.7034466290047336,0.30799872463401734,623,2,48735,101266
492,0,20,25,1,2,5,2.6666666666666665,0.6624957797446879,0.4038067158070032,8515,35,83137,66864
21,0,30,1,2,2,3,2.3333333333333335,0.7482759661352818,0.3609961051962574,7361,10,86780,63221
127,0,2,49,2,2,2,2.0,0.7705249011100025,0.2898201225491383,193,0,37096,112905
387,0,43,38,3,1,1,1.6666666666666667,0.6620778734222419,0.3823862069228052,586,10,36212,113789
444,0,41,5,1,4,1,2.0,0.6628982958867135,0.39751826539856966,158,0,30821,119180
428,0,20,22,4,3,1,2.6666666666666665,0.7560791794078933,0.3491308365399914,1333,9,54114,95887
382,0,18,40,1,1,3,1.6666666666666667,0.8014615741867721,0.2840641383877193,241,1,30194,119807
243,0,44,18,1,5,5,3.6666666666666665,0.6153181912953802,0.2655966962725118,170,0,34518,115483
241,0,18,49,3,2,1,2.0,0.6249703495870139,0.35499595777740894,326,3,48066,101935
360,0,46,1,2,1,4,2.3333333333333335,0.6059919916117993,0.28169411726624066,112,0,27975,122026
54,0,30,7,1,5,4,3.3333333333333335,0.6183576906814838,0.31581553486834335,2123,25,48425,101576
332,0,32,23,2,3,1,2.0,0.8501300546383352,0.42964715984857443,403,2,32551,117450
123,0,24,20,2,3,1,2.0,0.7646244327794041,0.2846752205176635,1792,12,43605,106396
215,0,37,7,4,2,4,3.3333333333333335,0.6533099832246317,0.3316700928937375,2591,3,67404,82597
484,0,6,47,1,3,1,1.6666666666666667,0.7562269158113931,0.3604416106313127,4762,1,96994,53007
336,0,23,42,3,2,5,3.3333333333333335,0.6533958163737573,0.24994020969718947,125,0,31765,118236
353,0,1,12,4,1,3,2.6666666666666665,0.662430113079463,0.41699144371953434,1359,9,47779,102222
468,0,7,8,2,5,1,2.6666666666666665,0.5359224538849158,0.37290154011162274,6802,18,86819,63182
29,0,10,30,3,1,2,2.0,0.6579635942242675,0.47266476314815387,413,0,49559,100442
265,0,14,9,2,2,2,2.0,0.7547424709494958,0.4470026661821075,507,10,44755,105246
60,0,29,15,2,2,5,3.0,0.8099779370016078,0.29923719613785965,251,0,34493,115508
447,0,2,34,1,3,2,2.0,0.7878392786835684,0.3248236859994321,210,0,39126,110875
205,0,32,8,5,2,5,4.0,0.8109428137360255,0.27344192662498035,201,0,39988,110013
404,0,41,9,3,3,1,2.3333333333333335,0.7478846369866625,0.2850020463789998,177,0,36391,113610
38,0,49,0,5,3,2,3.3333333333333335,0.6658491257099234,0.3636511578503817,183,0,38182,111819
206,0,28,44,1,2,4,2.3333333333333335,0.6655720657652004,0.3824207127067072,4074,23,58494,91507
406,0,31,1,3,3,1,2.3333333333333335,0.7255374702619107,0.22055996694474408,187,0,37320,112681
218,0,10,8,5,5,1,3.6666666666666665,0.6505070975280574,0.3882262081101404,981,4,42772,107229
83,0,8,45,1,1,3,1.6666666666666667,0.6733539077116221,0.36473568271145157,192,0,30929,119072
33,0,2,2,2,5,1,2.6666666666666665,0.7290240416953654,0.4097941279640547,5097,0,85003,64998
169,0,18,48,5,5,1,3.6666666666666665,0.7203505847549867,0.2760728479110782,228,0,39857,110144
55,0,14,8,2,5,1,2.6666666666666665,0.786738556203164,0.3697525971504438,4261,11,65663,84338
264,0,22,31,4,1,3,2.6666666666666665,0.6271891898397256,0.5020765922497301,369,2,48148,101853
146,0,11,47,5,4,2,3.6666666666666665,0.6197460215863191,0.3489661350479376,179,0,33300,116701
